female,black,hispanic,bytest,dadcoll,momcoll,ownhome,urban,cue80,stwmfg80,dist,tuition,incomehi,ed
0,0,0,39.150002,1,0,1,1,6.1999998,8.0900002,.2,.88915002,1,12
1,0,0,48.869999,0,0,1,1,6.1999998,8.0900002,.2,.88915002,0,12
0,0,0,48.740002,0,0,1,1,6.1999998,8.0900002,.2,.88915002,0,12
0,1,0,40.400002,0,0,1,1,6.1999998,8.0900002,.2,.88915002,0,12
1,0,0,40.48,0,0,0,1,5.5999999,8.0900002,.40000001,.88915002,0,13
0,0,0,54.709999,0,0,1,1,5.5999999,8.0900002,.40000001,.88915002,0,12
1,0,0,56.07,0,0,1,0,7.1999998,8.8500004,.40000001,.84987998,0,13
1,0,0,54.849998,0,0,1,0,7.1999998,8.8500004,.40000001,.84987998,0,15
0,0,0,64.739998,1,0,1,1,5.9000001,8.0900002,3,.88915002,0,13
1,0,0,56.060001,0,0,1,1,5.9000001,8.0900002,3,.88915002,0,15
1,0,0,42.220001,0,0,1,1,5.9000001,8.0900002,3,.88915002,1,12
1,1,0,61.18,0,1,1,1,5.9000001,8.0900002,3,.88915002,1,14
0,0,0,59.849998,0,0,1,0,7.1999998,8.8500004,.1,.84987998,0,15
1,0,0,58.77,1,0,1,0,7.1999998,8.8500004,.1,.84987998,1,17
1,1,0,53.720001,1,1,1,0,7.1999998,8.8500004,.1,.84987998,0,14
0,0,0,61.52,0,0,1,0,7.1999998,8.8500004,.1,.84987998,0,15
1,0,0,52.529999,0,0,1,0,7.1999998,8.8500004,.1,.84987998,1,12
1,0,0,45.009998,0,0,1,0,7.1999998,8.8500004,.1,.84987998,0,12
1,0,0,57.709999,0,0,1,0,7.1999998,8.8500004,.1,.84987998,0,16
1,0,0,59.360001,1,1,1,0,7.1999998,8.8500004,.1,.84987998,1,16
1,0,0,50.93,0,0,1,0,7.6999998,7.04,.5,.903,0,13
0,0,0,59.560001,1,0,1,0,7.6999998,7.04,.5,.903,1,14
0,0,0,58.459999,1,1,1,0,7.6999998,7.04,.5,.903,0,13
1,0,0,55.700001,0,0,0,0,7.6999998,7.04,.5,.903,0,16
0,0,0,60.810001,0,0,1,0,7.6999998,7.04,.5,.903,0,15
1,1,0,40.599998,0,0,1,0,5.4000001,8.8500004,.89999998,.84987998,0,12
1,0,0,49.990002,0,0,1,0,5.4000001,8.8500004,.89999998,.84987998,0,12
0,0,0,59.689999,0,0,1,1,5.0999999,8.8500004,.5,.84987998,0,15
0,0,0,60.330002,0,0,1,1,5.0999999,8.8500004,.5,.84987998,0,16
1,0,0,60.139999,1,0,1,1,5.0999999,8.8500004,.5,.84987998,1,12
1,0,0,68.580002,1,1,1,1,5.0999999,8.8500004,.5,.84987998,1,16
1,0,0,42.610001,0,0,1,1,5.0999999,8.8500004,.5,.84987998,0,12
0,0,0,58.66,1,0,1,1,5.0999999,8.8500004,.5,.84987998,1,16
0,0,0,58.139999,0,0,1,1,5.0999999,8.8500004,.5,.84987998,0,14
1,0,0,58.950001,0,0,1,1,5.0999999,8.8500004,.5,.84987998,0,16
0,0,0,49.369999,0,0,1,1,5.4000001,8.8500004,.2,.84987998,0,17
1,0,0,47.25,0,1,0,1,5.4000001,8.8500004,.2,.84987998,0,16
0,0,0,61.029999,1,0,0,0,6.1999998,8.0900002,.60000002,.88915002,1,14
0,0,0,54.349998,0,0,0,0,6.1999998,8.0900002,.60000002,.88915002,1,15
1,0,0,68.120003,1,1,1,0,6.1999998,8.0900002,.60000002,.88915002,1,15
0,0,0,70.099998,1,0,1,0,6.1999998,8.0900002,.60000002,.88915002,1,17
1,0,0,58.610001,0,0,0,0,6.1999998,8.0900002,.60000002,.88915002,0,15
1,0,0,48.57,0,0,1,0,6.1999998,8.0900002,.60000002,.88915002,0,12
1,0,0,51.110001,0,0,1,0,6.1999998,8.0900002,.60000002,.88915002,0,12
1,0,0,39.41,0,0,1,0,6.1999998,8.0900002,.60000002,.88915002,0,15
1,0,0,54.98,1,0,1,0,7.1999998,7.04,.1,.903,1,16
1,1,0,41.59,1,1,0,0,7.1999998,7.04,.1,.903,0,12
1,0,0,55.32,0,0,1,0,7.1999998,7.04,.1,.903,0,13
0,0,1,42.23,0,0,1,0,7.1999998,7.04,.1,.903,0,12
1,0,0,62,0,0,1,0,7.1999998,7.04,.1,.903,0,16
0,0,1,49.650002,0,0,0,0,7.1999998,7.04,.1,.903,0,15
1,0,0,44.959999,0,0,1,0,7.1999998,7.04,.1,.903,0,12
1,0,0,37.310001,0,0,1,0,7.1999998,7.04,.1,.903,0,12
0,0,0,39.869999,0,0,1,0,7.1999998,7.04,.1,.903,0,12
1,0,0,56.439999,0,0,1,0,5.4000001,8.8500004,.1,.84987998,0,16
0,1,0,42.650002,0,0,1,0,5.4000001,8.8500004,.1,.84987998,0,12
