ahe,year,bachelor,female,age,age_bachelor
38.46154,2008,1,0,33,33
12.5,2008,1,0,31,31
9.857142,2008,0,0,30,0
8.241758,2008,0,0,30,0
17.78846,2008,0,0,31,0
10.09615,2008,0,1,29,0
17.78846,2008,1,0,26,26
30.38461,2008,1,0,28,28
23.66864,2008,1,0,30,30
12.01923,2008,1,1,25,25
15.86539,2008,0,0,26,0
11.84615,2008,0,0,25,0
28.84615,2008,0,0,30,0
9.440909,2008,0,0,31,0
20.19231,2008,0,0,32,0
13.46154,2008,0,1,31,0
13.03419,2008,1,1,27,27
25.64103,2008,1,1,31,31
18.21862,2008,1,1,32,32
8.753846,2008,1,1,27,27
12.01923,2008,1,0,29,29
22.4359,2008,0,0,34,0
14.42308,2008,0,1,26,0
13.07692,2008,0,0,26,0
9.39375,2008,0,0,28,0
10.17969,2008,1,1,25,25
29.80769,2008,1,0,33,33
32.05128,2008,0,0,34,0
8.653846,2008,0,0,25,0
7.211538,2008,0,1,32,0
8.01282,2008,1,0,25,25
15.625,2008,0,1,30,0
12.98077,2008,0,1,29,0
28.84615,2008,1,0,29,29
34.61538,2008,0,0,26,0
7.692307,2008,0,0,30,0
16.82692,2008,0,0,27,0
19.71154,2008,0,0,32,0
19.76496,2008,0,1,27,0
15.38461,2008,1,1,27,27
13.46154,2008,0,1,26,0
8.894231,2008,0,0,27,0
19.74039,2008,0,0,31,0
12.47401,2008,0,1,32,0
16.82788,2008,1,0,25,25
25.64103,2008,1,0,34,34
17.30769,2008,0,1,30,0
17.52137,2008,1,0,27,27
37.5,2008,1,1,27,27
32.69231,2008,1,0,32,32
27.88461,2008,1,1,29,29
19.23077,2008,1,0,33,33
20.19231,2008,0,0,34,0
26.44231,2008,1,1,30,30
21.63461,2008,1,0,33,33
22.11539,2008,1,0,28,28
24.03846,2008,1,0,32,32
33.65385,2008,1,1,34,34
23.55769,2008,1,1,33,33
15.38461,2008,1,1,34,34
17.30769,2008,1,0,33,33
18.26923,2008,0,0,28,0
4.807693,2008,1,0,29,29
17.78846,2008,1,1,28,28
38.46154,2008,1,0,31,31
40.59829,2008,1,0,34,34
15,2008,1,0,34,34
21.63461,2008,0,0,34,0
15.86539,2008,0,1,29,0
20.67308,2008,0,0,31,0
21.63461,2008,1,1,31,31
6.923077,2008,1,1,28,28
17.78846,2008,1,1,30,30
10.78799,2008,1,1,28,28
15.56077,2008,1,0,34,34
16.10577,2008,0,0,27,0
11.09467,2008,1,0,31,31
10.74114,2008,1,0,29,29
16.34615,2008,0,1,27,0
15.38461,2008,0,1,26,0
13.46154,2008,0,1,30,0
17.78846,2008,1,1,33,33
16.17994,2008,0,1,32,0
18.53147,2008,0,0,32,0
19.23077,2008,1,1,28,28
28.84615,2008,0,0,30,0
7.211538,2008,0,0,27,0
11.53846,2008,0,0,27,0
11,2008,0,0,30,0
12.5,2008,0,0,34,0
10.47571,2008,1,1,28,28
26.62722,2008,1,0,30,30
16.48352,2008,0,1,34,0
4.807693,2008,0,1,29,0
13.37793,2008,0,0,26,0
50.48077,2008,1,1,34,34
19.23077,2008,1,1,32,32
9.615385,2008,1,0,32,32
22.22222,2008,1,1,26,26
15,2008,0,0,34,0
11.53846,2008,0,1,28,0
13.15385,2008,0,0,34,0
28.84615,2008,0,0,28,0
9.761539,2008,1,0,28,28
43.26923,2008,1,0,32,32
18.49113,2008,0,0,25,0
24.03846,2008,1,0,30,30
30.28846,2008,1,0,29,29
26.44231,2008,1,0,30,30
18.07692,2008,1,0,34,34
38.46154,2008,1,0,32,32
38.46154,2008,1,0,32,32
32.05128,2008,1,1,30,30
13.62179,2008,0,1,27,0
16.82692,2008,0,0,33,0
46.15385,2008,0,0,32,0
45,2008,1,0,31,31
53.07692,2008,1,0,33,33
20.67308,2008,1,0,26,26
24.052,2008,1,0,26,26
21.25506,2008,1,0,29,29
4.807693,2008,1,0,30,30
20.19231,2008,1,1,31,31
22.22222,2008,1,0,30,30
40.38462,2008,1,0,34,34
12.93706,2008,1,0,34,34
8.01282,2008,0,1,30,0
45.67308,2008,1,0,33,33
12.01923,2008,0,1,29,0
19.23077,2008,0,0,33,0
21.63461,2008,0,0,30,0
14.36923,2008,0,0,33,0
20.19231,2008,0,0,28,0
24.03846,2008,1,0,28,28
36.53846,2008,1,1,34,34
15.38461,2008,1,1,31,31
9.615385,2008,1,0,30,30
21.97802,2008,1,1,31,31
17.30769,2008,1,0,32,32
24.03846,2008,0,0,33,0
11.05865,2008,0,0,33,0
8.791209,2008,0,0,26,0
9.846154,2008,1,0,26,26
34.85577,2008,0,0,32,0
12.28632,2008,0,1,25,0
22.64957,2008,0,0,34,0
19.71154,2008,1,1,31,31
14.0056,2008,0,0,31,0
26.92308,2008,1,1,32,32
28.84615,2008,0,0,34,0
24.03846,2008,0,1,28,0
11.97917,2008,0,1,32,0
11.05769,2008,0,1,32,0
15.38461,2008,0,0,29,0
11.53846,2008,0,1,33,0
11.05769,2008,1,0,32,32
18.75,2008,1,1,33,33
16.34615,2008,0,0,28,0
14.42308,2008,0,0,29,0
8.241758,2008,1,1,28,28
13.51351,2008,0,0,28,0
14.42308,2008,1,0,26,26
7.211538,2008,1,1,30,30
13.63636,2008,1,0,32,32
14.42308,2008,0,0,33,0
10.32967,2008,1,1,25,25
13.67521,2008,1,1,31,31
30.76923,2008,0,0,29,0
17.09402,2008,0,1,25,0
13.73626,2008,1,1,30,30
18.07692,2008,1,1,33,33
5.769231,2008,0,0,34,0
12.30769,2008,1,1,26,26
15.86539,2008,0,1,33,0
11.5,2008,0,0,25,0
12.01923,2008,0,0,34,0
9.615385,2008,0,1,31,0
21.97802,2008,1,0,26,26
16.15385,2008,0,0,26,0
17.85714,2008,0,1,34,0
9.615385,2008,0,0,30,0
21.63461,2008,0,0,28,0
40.86538,2008,1,0,34,34
31.25,2008,1,1,30,30
31.25,2008,1,1,25,25
19.23077,2008,0,0,28,0
17.78846,2008,1,0,27,27
19.23077,2008,0,0,31,0
28.84615,2008,0,0,33,0
49.03846,2008,1,1,31,31
51.92308,2008,1,1,31,31
36.05769,2008,1,0,31,31
20.19231,2008,1,1,33,33
28.84615,2008,1,0,25,25
53.07692,2008,1,0,32,32
28.84615,2008,1,1,25,25
29.32692,2008,1,0,34,34
5.769231,2008,0,1,31,0
20.67308,2008,1,0,30,30
12.01923,2008,1,0,32,32
11.05769,2008,1,1,27,27
11.11111,2008,0,1,33,0
11,2008,0,0,33,0
25.96154,2008,1,0,33,33
16.41651,2008,1,0,28,28
14.95726,2008,0,0,30,0
24.03846,2008,1,0,34,34
25.64103,2008,1,0,25,25
16.94139,2008,1,1,25,25
19.23077,2008,1,0,26,26
46.63462,2008,1,0,31,31
7.211538,2008,1,0,28,28
23.07692,2008,1,0,32,32
25,2008,1,1,25,25
27.88461,2008,0,0,32,0
26.92308,2008,1,1,31,31
4.807693,2008,1,0,29,29
26.22378,2008,0,0,29,0
15.86539,2008,1,1,30,30
18.42949,2008,1,0,25,25
28.84615,2008,0,0,31,0
21.63461,2008,0,1,29,0
15.38461,2008,1,1,28,28
13.22115,2008,0,1,30,0
13.3547,2008,1,1,31,31
8.25,2008,0,1,33,0
14.55301,2008,0,1,30,0
30.28846,2008,1,0,28,28
19.23077,2008,1,1,29,29
17.94872,2008,0,0,33,0
26.44231,2008,0,0,34,0
43.26923,2008,1,0,33,33
24.03846,2008,0,0,34,0
19.23077,2008,1,1,32,32
10.43956,2008,0,1,30,0
23.07692,2008,0,0,32,0
14.42308,2008,0,0,27,0
20.67308,2008,0,1,27,0
23.80952,2008,1,0,34,34
21.63461,2008,0,0,27,0
12.01923,2008,0,1,26,0
8.547009,2008,0,1,33,0
11.1336,2008,0,1,32,0
12.01923,2008,1,1,25,25
