id,lwage,educ,quarter1,age,parent_educ
1,3.7338,15.8,0,45.4,10
2,2.2149,12.2,0,38.1,15
3,3.0731,16.4,1,25.4,13
4,2.6366,14.4,0,38.1,11
5,2.3211,12.7,0,26.1,13
6,2.8289,15.0,0,34.3,8
7,2.3249,12.2,0,39.7,12
8,3.1526,13.3,1,37.3,16
9,3.0649,14.0,0,36.4,13
10,3.0167,14.4,1,22.0,10
11,2.4289,12.1,1,34.6,9
12,3.2996,14.0,0,41.1,12
13,2.4776,11.1,0,41.5,16
14,3.2392,14.9,0,39.2,15
15,3.1334,14.0,0,52.0,12
16,2.4653,11.9,0,42.1,15
17,3.3564,14.1,0,31.5,12
18,2.8714,13.1,1,36.7,11
19,2.4191,12.6,1,36.2,10
20,2.3789,13.7,1,30.0,14
21,3.6132,16.2,0,44.0,13
22,3.3046,13.2,0,44.3,9
23,2.4736,14.0,0,32.3,16
24,2.7516,14.6,0,32.1,11
25,3.4309,15.2,1,40.9,11
26,2.9952,13.2,0,46.6,10
27,2.5181,11.6,0,42.8,14
28,2.007,11.7,1,26.8,11
29,2.5743,12.4,1,44.6,13
30,2.5472,14.4,0,22.0,10
31,3.0961,15.8,1,42.1,8
32,3.2236,14.8,1,52.7,10
33,2.6704,13.1,0,35.1,12
34,2.9461,14.8,1,34.5,11
35,3.3802,15.8,0,44.9,11
36,2.5214,12.7,1,27.1,9
37,2.8865,14.1,0,44.4,14
38,3.2445,14.1,0,42.2,10
39,3.0428,13.3,0,41.0,18
40,2.89,12.1,1,24.6,9
41,2.616,12.9,0,37.9,8
42,3.2085,14.7,0,30.9,14
43,2.4953,13.2,1,35.6,12
44,2.7996,12.9,0,27.8,12
45,2.9679,13.0,1,38.0,15
46,3.1714,14.6,0,25.7,15
47,3.3621,15.5,1,42.6,9
48,2.6597,13.1,0,48.6,12
49,2.5288,11.1,0,30.9,12
50,2.4912,14.1,1,24.8,12
51,3.2618,14.2,0,40.5,12
52,3.2888,13.7,0,41.2,12
53,3.0428,16.0,0,46.7,14
54,2.637,12.4,0,29.1,15
55,3.0741,12.5,0,37.1,10
56,2.8481,14.3,0,40.9,13
57,3.3557,16.2,0,32.4,16
58,2.7746,15.6,0,40.0,10
59,2.291,12.7,0,31.5,8
60,2.2987,12.2,0,28.5,10
61,2.7034,11.1,1,44.6,14
62,2.7722,13.1,1,28.5,15
63,3.1444,16.3,0,39.8,18
64,2.775,14.1,0,36.3,12
65,2.7394,13.9,0,37.2,11
66,2.7713,14.0,0,33.7,15
67,2.1833,9.9,0,42.5,12
68,2.8109,14.7,0,32.6,11
69,2.85,12.8,1,40.0,14
70,3.0603,14.6,1,29.5,17
71,2.7869,13.3,1,35.9,12
72,3.6738,17.5,0,37.3,11
73,2.6781,12.8,1,22.0,19
74,2.5574,13.6,0,22.0,12
75,2.6162,13.6,0,26.5,11
76,2.8969,12.4,0,28.0,9
77,2.7423,13.5,1,59.6,11
78,2.9011,15.1,0,37.2,15
79,2.6838,12.1,0,22.0,10
80,2.2729,11.0,0,23.4,11
81,2.1837,12.1,0,27.6,13
82,2.6804,12.7,1,43.9,15
83,2.5723,11.7,0,31.6,15
84,3.1098,12.6,0,40.7,12
85,2.5465,13.1,0,34.0,10
86,3.2984,14.6,1,22.5,14
87,2.93,13.9,0,37.7,14
88,3.4628,13.1,0,43.7,10
89,3.5252,15.9,1,31.8,14
90,2.7423,12.1,0,42.1,12
91,2.9365,13.5,0,51.1,11
92,2.8335,13.6,1,35.1,10
93,2.5385,12.9,1,31.6,16
94,2.6115,12.2,1,33.4,9
95,2.751,14.3,1,31.6,11
96,3.204,13.1,1,35.2,12
97,2.7986,13.4,0,29.3,14
98,2.2574,13.7,0,25.9,12
99,2.7409,13.7,1,41.3,13
100,2.6194,14.8,0,29.3,13
101,2.893,11.9,0,46.7,15
102,2.956,13.6,0,35.9,12
103,2.829,13.0,1,43.9,12
104,2.7238,14.2,0,30.5,11
105,3.2957,16.3,0,27.8,17
106,2.7809,14.6,0,33.9,13
107,2.9956,16.8,0,38.2,13
108,3.2827,13.7,0,43.4,11
109,3.3734,16.7,0,22.0,12
110,2.785,12.4,1,32.7,11
111,2.7511,14.6,1,34.1,14
112,3.0825,15.4,0,30.0,17
113,2.7423,13.7,0,35.4,11
114,3.0332,14.5,0,39.2,18
115,2.9513,13.3,0,47.4,13
116,2.9173,14.4,1,38.6,14
117,2.7018,14.0,0,34.9,14
118,2.9194,14.7,1,39.7,9
119,2.5352,13.2,0,22.0,17
120,2.8749,14.0,0,38.8,13
121,2.7202,13.8,1,41.6,14
122,2.6499,14.9,0,37.1,16
123,3.0176,13.0,0,28.3,17
124,3.3865,14.2,0,41.9,13
125,2.4566,12.0,1,32.2,14
126,3.6327,16.5,1,41.0,12
127,2.5819,14.4,0,25.9,11
128,2.9706,12.4,0,30.6,14
129,2.2172,11.3,1,22.0,12
130,3.5727,14.8,0,52.5,14
131,2.5495,13.5,0,42.3,11
