id,year,region,female,age,edu,married,child,norm_trad,wage,income,housework,reform_year,policy,target_mother,child_exp,savings,leisure,negotiate,satisfaction,self,ask
1,2018,9,0,51,12,1,1,2,1245.0,1660630.0,51.0,2021,0,0,114093.0,47766.0,213.0,0,7,1,35601.0
2,2023,5,0,51,11,0,1,1,991.0,1586249.0,35.0,2021,1,1,85721.0,62082.0,255.0,0,7,1,25869.0
3,2022,10,0,44,16,1,0,4,1433.0,2218771.0,28.0,2021,1,0,96751.0,51346.0,257.0,1,6,0,34329.0
4,2021,8,0,46,10,1,1,2,941.0,3036669.0,92.0,2021,1,1,133142.0,36257.0,207.0,0,4,1,27852.0
5,2021,7,1,31,16,0,1,3,906.0,1805643.0,198.0,2021,1,1,132217.0,0.0,147.0,0,3,0,35899.0
6,2024,10,1,20,13,0,1,5,901.0,2268509.0,209.0,2021,1,1,101629.0,114465.0,132.0,0,3,0,22465.0
7,2018,6,0,46,14,0,0,1,877.0,1436085.0,0.0,2021,0,1,100209.0,52314.0,238.0,0,6,1,29044.0
8,2022,8,1,48,15,0,0,3,1269.0,2194366.0,123.0,2021,1,1,69571.0,58897.0,187.0,0,5,0,31124.0
9,2019,3,1,57,15,1,0,3,1101.0,2215486.0,154.0,2021,0,0,80219.0,62440.0,207.0,0,7,0,19158.0
10,2018,10,1,61,12,0,0,4,975.0,2308270.0,164.0,2021,0,1,125789.0,26676.0,210.0,0,3,0,28391.0
11,2021,7,0,61,16,1,1,5,1244.0,2825012.0,96.0,2021,1,1,140080.0,46013.0,184.0,1,4,0,26073.0
12,2024,8,0,33,14,1,0,1,1148.0,1787733.0,16.0,2021,1,1,143357.0,87108.0,257.0,0,6,0,32449.0
13,2023,5,0,40,11,1,1,4,1200.0,3401257.0,108.0,2021,1,1,149315.0,89509.0,224.0,0,7,0,18188.0
14,2023,9,1,49,14,0,1,5,907.0,1666192.0,231.0,2021,1,1,101743.0,22525.0,189.0,1,2,1,18752.0
15,2023,1,1,69,17,1,0,3,1342.0,2437840.0,155.0,2021,1,1,151953.0,40267.0,230.0,0,4,0,33418.0
16,2023,2,0,60,18,1,1,3,1910.0,2453247.0,79.0,2021,1,1,85016.0,44720.0,204.0,0,5,1,49110.0
17,2021,6,1,56,16,0,1,4,1297.0,2831800.0,209.0,2021,1,1,95169.0,55697.0,175.0,1,7,1,26769.0
18,2018,8,0,40,11,0,0,4,700.0,1310506.0,64.0,2021,0,0,35980.0,83291.0,262.0,0,8,1,14950.0
19,2023,9,0,34,15,1,0,4,1545.0,3080963.0,30.0,2021,1,0,140168.0,70477.0,213.0,0,6,0,37836.0
20,2021,5,1,53,16,0,1,4,1466.0,2617388.0,205.0,2021,1,0,81362.0,32178.0,190.0,0,5,1,30358.0
21,2021,7,1,32,16,0,0,1,1289.0,2032591.0,108.0,2021,1,0,103067.0,51363.0,212.0,0,4,1,36433.0
22,2020,6,1,41,16,0,0,5,1095.0,1786210.0,221.0,2021,0,0,85685.0,53540.0,173.0,0,5,1,21279.0
23,2019,10,0,43,15,1,1,5,911.0,2301380.0,101.0,2021,0,1,158908.0,23856.0,193.0,0,7,1,29575.0
24,2024,7,0,62,14,1,1,4,1445.0,3350559.0,59.0,2021,1,1,180407.0,82859.0,220.0,1,8,0,48267.0
25,2023,5,1,40,13,0,0,1,951.0,1596284.0,68.0,2021,1,1,88971.0,70522.0,216.0,0,5,1,23274.0
26,2022,10,0,20,10,0,0,2,805.0,1923469.0,26.0,2021,1,1,125300.0,54520.0,246.0,0,5,1,22370.0
27,2020,2,1,50,15,0,0,3,1349.0,2388713.0,145.0,2021,0,1,107078.0,42239.0,219.0,0,6,0,23724.0
28,2023,10,1,36,14,0,0,1,1026.0,1594687.0,85.0,2021,1,1,68312.0,32259.0,234.0,1,7,1,21542.0
29,2021,2,0,44,15,1,1,2,1352.0,2962808.0,39.0,2021,1,0,110083.0,29762.0,228.0,0,6,1,35478.0
30,2021,3,1,43,11,0,0,1,943.0,1017707.0,60.0,2021,1,1,45386.0,29410.0,233.0,0,3,0,24051.0
31,2021,9,1,41,15,0,0,4,870.0,1682359.0,114.0,2021,1,0,69881.0,52484.0,233.0,1,5,0,31987.0
32,2019,8,0,53,19,0,1,3,2050.0,3098909.0,0.0,2021,0,0,140837.0,48252.0,254.0,1,6,1,47050.0
33,2018,10,1,27,14,0,0,1,1332.0,1883737.0,85.0,2021,0,1,27551.0,92348.0,248.0,0,4,0,25612.0
34,2021,8,0,38,14,1,1,4,1450.0,2030654.0,141.0,2021,1,1,102584.0,65043.0,193.0,0,5,0,39592.0
35,2024,7,1,52,15,1,0,3,1433.0,2741842.0,185.0,2021,1,1,115679.0,33896.0,222.0,0,6,0,27074.0
36,2018,4,1,37,18,0,0,3,1368.0,3267217.0,116.0,2021,0,1,138041.0,38355.0,235.0,1,8,1,29090.0
37,2024,1,1,26,12,0,0,2,1003.0,1746862.0,118.0,2021,1,0,118810.0,25289.0,267.0,0,4,0,28607.0
38,2023,2,1,51,14,0,0,2,1297.0,2656393.0,77.0,2021,1,0,114615.0,99738.0,255.0,1,7,0,41972.0
39,2019,3,1,56,12,0,0,2,700.0,2436157.0,81.0,2021,0,0,77526.0,80323.0,230.0,0,7,0,18177.0
40,2022,1,1,44,13,1,1,2,1252.0,2885628.0,114.0,2021,1,1,97545.0,105934.0,189.0,0,6,0,31806.0
41,2019,6,0,22,14,0,0,3,1190.0,1759394.0,39.0,2021,0,0,88754.0,47412.0,242.0,1,5,0,31836.0
42,2023,8,1,52,17,1,0,3,1334.0,2337416.0,135.0,2021,1,0,72082.0,60640.0,217.0,0,4,0,39884.0
43,2022,10,1,26,18,1,1,2,1023.0,2271729.0,150.0,2021,1,1,143181.0,30489.0,202.0,0,5,1,37934.0
44,2020,5,1,47,15,1,0,2,1149.0,2001753.0,131.0,2021,0,1,119997.0,59728.0,202.0,1,5,1,26066.0
45,2018,9,1,34,13,0,1,2,700.0,1160957.0,136.0,2021,0,1,35032.0,24903.0,209.0,1,4,0,31471.0
46,2024,10,1,31,19,0,0,5,1523.0,3234027.0,193.0,2021,1,1,146038.0,71518.0,167.0,0,7,1,43212.0
47,2021,9,0,39,13,1,0,2,764.0,2138278.0,10.0,2021,1,0,124155.0,91363.0,227.0,0,5,0,36144.0
48,2024,5,1,42,13,0,0,2,1116.0,1185354.0,80.0,2021,1,0,83963.0,32927.0,230.0,1,3,0,32572.0
49,2022,4,0,37,10,0,0,5,732.0,908515.0,24.0,2021,1,0,0.0,60452.0,236.0,0,5,0,22465.0
50,2023,10,0,50,17,0,1,4,1190.0,2089998.0,99.0,2021,1,0,81809.0,13862.0,178.0,0,6,1,30652.0
51,2023,3,1,39,16,0,0,1,1207.0,2472144.0,80.0,2021,1,1,78521.0,120581.0,221.0,0,6,0,25916.0
52,2019,5,1,55,19,1,1,4,1563.0,3814938.0,149.0,2021,0,1,174610.0,74087.0,169.0,0,6,0,38362.0
53,2020,1,1,47,11,1,1,2,990.0,3562984.0,142.0,2021,0,0,168038.0,92818.0,185.0,1,8,0,26574.0
54,2021,8,0,36,17,1,1,4,1156.0,2277963.0,52.0,2021,1,0,42281.0,71617.0,206.0,0,4,0,33503.0
55,2021,7,1,34,14,1,0,2,879.0,1624336.0,156.0,2021,1,0,66331.0,40045.0,206.0,1,5,1,28176.0
56,2018,1,0,26,16,0,0,2,823.0,1775685.0,23.0,2021,0,1,97167.0,65532.0,252.0,0,8,0,20905.0
57,2021,3,0,47,10,0,1,5,700.0,1098892.0,108.0,2021,1,0,72161.0,48140.0,215.0,1,3,1,19108.0
58,2019,6,0,40,17,1,1,4,1659.0,3345719.0,110.0,2021,0,0,148757.0,57225.0,223.0,1,6,0,51159.0
59,2023,6,0,20,16,1,0,4,1510.0,2760481.0,29.0,2021,1,0,99492.0,52781.0,253.0,0,8,1,41474.0
60,2022,9,0,38,14,0,1,4,1143.0,926573.0,85.0,2021,1,1,42957.0,26528.0,209.0,0,6,1,33127.0
61,2024,3,1,34,15,0,0,2,906.0,1692417.0,128.0,2021,1,0,75808.0,43307.0,212.0,1,6,1,28404.0
62,2023,10,1,61,12,1,1,5,920.0,1994820.0,225.0,2021,1,0,101121.0,83045.0,175.0,0,5,1,18607.0
63,2020,5,1,25,13,0,0,5,1120.0,2651616.0,201.0,2021,0,0,118188.0,80491.0,197.0,0,4,0,17276.0
64,2024,9,0,28,13,0,0,3,894.0,1611945.0,12.0,2021,1,0,85831.0,43690.0,280.0,0,8,0,29483.0
65,2020,3,0,56,10,0,0,5,969.0,1116826.0,75.0,2021,0,0,51235.0,47670.0,200.0,1,4,1,8199.0
66,2020,1,0,59,16,1,1,5,1449.0,2909151.0,79.0,2021,0,0,157193.0,19157.0,203.0,0,4,1,32937.0
67,2024,1,1,36,17,0,0,3,1151.0,1026259.0,149.0,2021,1,0,38546.0,18988.0,214.0,1,5,0,34088.0
68,2020,4,0,37,12,1,1,4,949.0,1532741.0,106.0,2021,0,1,45545.0,42987.0,197.0,0,5,1,22407.0
69,2018,10,1,51,15,1,0,3,1206.0,2738553.0,157.0,2021,0,1,117776.0,91309.0,188.0,0,6,1,41488.0
70,2021,1,1,20,13,0,1,1,700.0,1316330.0,127.0,2021,1,1,91231.0,36722.0,167.0,0,5,1,33146.0
71,2023,4,0,24,15,0,1,2,1287.0,2957854.0,83.0,2021,1,0,150948.0,98238.0,220.0,0,8,0,39267.0
72,2019,2,1,41,13,1,0,3,1089.0,1226754.0,157.0,2021,0,1,21325.0,55630.0,191.0,1,5,0,23138.0
73,2021,10,1,61,12,0,1,3,996.0,1851569.0,207.0,2021,1,1,146575.0,32288.0,131.0,1,4,1,34288.0
74,2018,7,0,39,16,1,1,3,1594.0,3061444.0,74.0,2021,0,0,152913.0,64148.0,225.0,0,7,0,41054.0
75,2022,8,1,45,14,0,1,3,1028.0,2508324.0,174.0,2021,1,1,117591.0,65152.0,182.0,1,4,0,23628.0
76,2021,8,1,56,18,0,0,4,1610.0,3234381.0,189.0,2021,1,1,108817.0,66818.0,192.0,0,6,0,39496.0
77,2020,7,1,67,14,1,0,5,891.0,2174926.0,180.0,2021,0,1,113051.0,89187.0,181.0,0,5,0,32461.0
