store_id,year,treated,post,did,city_size,local_unemp,ln_sales,sales
1,2021,1,0,0,1,4.84,8.7048,6031.98
1,2022,1,0,0,1,3.85,8.7063,6040.85
1,2023,1,1,1,1,5.2,8.8428,6924.61
1,2024,1,1,1,1,4.12,9.0038,8134.24
2,2021,0,0,0,3,3.08,9.2032,9928.62
2,2022,0,0,0,3,3.51,9.3528,11531.38
2,2023,0,1,0,3,4.11,9.3207,11166.63
2,2024,0,1,0,3,5.19,9.3433,11422.06
3,2021,1,0,0,2,4.26,9.0068,8158.05
3,2022,1,0,0,2,4.42,9.2032,9929.22
3,2023,1,1,1,2,4.23,9.1709,9612.86
3,2024,1,1,1,2,5.02,9.1308,9235.22
4,2021,0,0,0,1,3.21,9.1866,9765.46
4,2022,0,0,0,1,4.59,9.2018,9915.08
4,2023,0,1,0,1,4.57,9.3526,11528.38
4,2024,0,1,0,1,3.94,9.4744,13021.5
5,2021,1,0,0,2,4.01,8.6082,5476.32
5,2022,1,0,0,2,3.82,8.8565,7019.58
5,2023,1,1,1,2,3.49,8.9863,7992.43
5,2024,1,1,1,2,4.42,8.706,6038.98
6,2021,1,0,0,1,3.16,8.9975,8082.64
6,2022,1,0,0,1,3.31,8.8256,6806.5
6,2023,1,1,1,1,4.23,9.145,9367.4
6,2024,1,1,1,1,4.68,9.1414,9333.97
7,2021,1,0,0,1,2.62,9.1197,9133.08
7,2022,1,0,0,1,3.46,9.0256,8312.99
7,2023,1,1,1,1,4.81,9.2043,9939.53
7,2024,1,1,1,1,4.36,9.1618,9526.63
8,2021,0,0,0,2,4.25,9.649,15506.15
8,2022,0,0,0,2,3.34,9.4729,13002.63
8,2023,0,1,0,2,3.84,9.6479,15489.54
8,2024,0,1,0,2,4.7,9.5125,13527.95
9,2021,0,0,0,1,3.73,9.217,10066.5
9,2022,0,0,0,1,3.48,9.7424,17024.67
9,2023,0,1,0,1,5.32,9.2981,10917.23
9,2024,0,1,0,1,3.88,9.4779,13067.4
10,2021,1,0,0,1,3.61,9.6174,15023.4
10,2022,1,0,0,1,4.6,9.4994,13352.05
10,2023,1,1,1,1,4.53,9.5329,13806.4
10,2024,1,1,1,1,5.16,9.7098,16478.26
11,2021,1,0,0,1,3.71,9.5482,14019.13
11,2022,1,0,0,1,5.18,9.6697,15831.29
11,2023,1,1,1,1,4.25,9.7675,17457.8
11,2024,1,1,1,1,4.84,9.7976,17991.05
12,2021,1,0,0,2,3.51,8.6015,5440.08
12,2022,1,0,0,2,4.13,8.7549,6341.52
12,2023,1,1,1,2,3.98,8.8739,7142.83
12,2024,1,1,1,2,3.71,9.0791,8770.24
13,2021,0,0,0,2,3.21,8.9378,7614.06
13,2022,0,0,0,2,3.52,8.9317,7568.0
13,2023,0,1,0,2,4.84,9.1229,9162.63
13,2024,0,1,0,2,4.69,9.2614,10524.23
14,2021,1,0,0,3,3.34,9.1096,9041.81
14,2022,1,0,0,3,3.38,9.2884,10811.82
14,2023,1,1,1,3,3.55,9.236,10259.83
14,2024,1,1,1,3,4.06,9.3732,11769.12
15,2021,0,0,0,1,4.27,9.5533,14091.45
15,2022,0,0,0,1,4.06,9.5988,14746.95
15,2023,0,1,0,1,4.22,9.4799,13093.99
15,2024,0,1,0,1,4.1,9.6034,14815.8
16,2021,1,0,0,3,2.87,8.7697,6435.98
16,2022,1,0,0,3,3.78,9.0698,8688.7
16,2023,1,1,1,3,2.58,9.1188,9124.88
16,2024,1,1,1,3,4.2,8.996,8070.84
17,2021,1,0,0,2,2.67,9.2039,9935.81
17,2022,1,0,0,2,3.95,9.2657,10568.91
17,2023,1,1,1,2,4.08,9.5561,14130.62
17,2024,1,1,1,2,4.28,9.6007,14775.74
18,2021,1,0,0,1,3.7,9.4745,13023.25
18,2022,1,0,0,1,4.68,9.388,11944.32
18,2023,1,1,1,1,5.13,9.6389,15350.72
18,2024,1,1,1,1,4.08,9.6454,15451.12
19,2021,1,0,0,3,2.83,9.3929,12003.25
19,2022,1,0,0,3,3.99,9.8852,19638.03
19,2023,1,1,1,3,3.91,9.9489,20928.6
19,2024,1,1,1,3,4.61,10.0012,22052.13
20,2021,0,0,0,2,4.19,9.498,13332.54
20,2022,0,0,0,2,4.05,9.5351,13837.47
20,2023,0,1,0,2,5.06,9.3351,11328.6
20,2024,0,1,0,2,3.79,9.5533,14091.58
21,2021,0,0,0,1,3.55,9.0223,8286.07
21,2022,0,0,0,1,5.07,8.9187,7470.42
21,2023,0,1,0,1,4.16,9.1001,8956.49
21,2024,0,1,0,1,5.12,8.9459,7676.52
22,2021,0,0,0,1,4.4,9.6616,15703.29
22,2022,0,0,0,1,4.03,9.8225,18443.95
22,2023,0,1,0,1,4.49,9.8679,19300.72
22,2024,0,1,0,1,3.71,9.7392,16969.37
23,2021,0,0,0,3,3.07,9.1681,9586.27
23,2022,0,0,0,3,3.77,9.344,11430.31
23,2023,0,1,0,3,3.92,9.2746,10663.47
23,2024,0,1,0,3,3.59,9.3023,10963.44
24,2021,0,0,0,3,4.54,9.1065,9014.14
24,2022,0,0,0,3,5.06,9.1456,9373.19
24,2023,0,1,0,3,3.5,9.2315,10214.32
24,2024,0,1,0,3,4.29,9.5204,13634.67
25,2021,1,0,0,1,3.19,9.1324,9250.21
25,2022,1,0,0,1,4.06,9.1436,9354.58
25,2023,1,1,1,1,5.01,9.4143,12262.98
25,2024,1,1,1,1,4.54,9.2209,10105.88
26,2021,1,0,0,1,4.81,9.1794,9695.72
26,2022,1,0,0,1,4.27,8.9472,7686.54
26,2023,1,1,1,1,4.15,9.2726,10642.31
26,2024,1,1,1,1,4.57,9.2244,10141.69
27,2021,0,0,0,3,3.83,8.9057,7373.92
27,2022,0,0,0,3,4.1,9.0317,8363.83
27,2023,0,1,0,3,3.25,8.9789,7934.14
27,2024,0,1,0,3,3.67,9.2541,10447.72
28,2021,1,0,0,1,3.93,9.1835,9735.22
28,2022,1,0,0,1,4.25,8.9663,7834.89
28,2023,1,1,1,1,4.5,9.2841,10764.95
28,2024,1,1,1,1,4.02,9.4196,12327.92
29,2021,1,0,0,1,4.82,9.6808,16007.02
29,2022,1,0,0,1,4.88,9.8695,19331.93
29,2023,1,1,1,1,4.99,9.8457,18876.12
29,2024,1,1,1,1,4.77,9.7076,16441.3
30,2021,1,0,0,2,4.15,9.0305,8354.37
30,2022,1,0,0,2,5.17,9.0872,8841.18
30,2023,1,1,1,2,3.91,8.9987,8092.25
30,2024,1,1,1,2,3.84,9.0051,8144.85
31,2021,0,0,0,1,3.97,9.6669,15786.35
31,2022,0,0,0,1,2.89,9.5411,13920.31
31,2023,0,1,0,1,3.81,9.7576,17284.62
31,2024,0,1,0,1,4.82,9.9347,20633.27
32,2021,0,0,0,2,3.76,9.572,14357.2
32,2022,0,0,0,2,2.71,9.4813,13111.9
32,2023,0,1,0,2,4.48,9.6674,15794.1
32,2024,0,1,0,2,4.4,9.6384,15343.16
33,2021,1,0,0,1,3.57,9.8512,18980.83
33,2022,1,0,0,1,4.77,9.6873,16111.02
33,2023,1,1,1,1,4.66,9.9787,21561.83
33,2024,1,1,1,1,4.62,10.028,22650.83
34,2021,0,0,0,3,4.01,9.652,15553.55
34,2022,0,0,0,3,4.2,9.4361,12532.12
34,2023,0,1,0,3,3.02,9.6468,15472.74
34,2024,0,1,0,3,3.95,9.6347,15286.3
35,2021,1,0,0,2,4.02,9.2116,10012.32
35,2022,1,0,0,2,3.72,9.3151,11104.11
35,2023,1,1,1,2,4.4,9.4784,13074.53
35,2024,1,1,1,2,4.43,9.2384,10284.4
36,2021,0,0,0,1,4.44,9.0464,8488.05
36,2022,0,0,0,1,3.17,9.0499,8517.97
36,2023,0,1,0,1,3.82,9.1584,9493.76
36,2024,0,1,0,1,4.51,9.074,8725.48
37,2021,1,0,0,2,4.44,9.1292,9220.98
37,2022,1,0,0,2,3.46,9.22,10097.26
37,2023,1,1,1,2,5.08,9.4638,12884.65
37,2024,1,1,1,2,4.56,9.6357,15300.97
38,2021,0,0,0,2,5.17,9.8641,19226.91
38,2022,0,0,0,2,3.09,9.5558,14126.54
38,2023,0,1,0,2,5.52,9.7688,17479.93
38,2024,0,1,0,2,4.71,9.9206,20345.88
39,2021,0,0,0,1,3.62,8.8968,7308.52
39,2022,0,0,0,1,4.45,8.9723,7881.54
39,2023,0,1,0,1,4.8,9.4396,12576.59
39,2024,0,1,0,1,3.73,9.1903,9801.82
40,2021,1,0,0,1,5.15,9.2942,10875.16
40,2022,1,0,0,1,4.92,9.2543,10449.15
40,2023,1,1,1,1,3.7,9.3286,11255.57
40,2024,1,1,1,1,4.92,9.4208,12342.39
41,2021,0,0,0,2,4.68,8.8155,6737.63
41,2022,0,0,0,2,4.37,8.947,7684.47
41,2023,0,1,0,2,3.39,8.9093,7400.63
41,2024,0,1,0,2,4.77,8.9224,7497.79
42,2021,0,0,0,3,3.74,8.7143,6089.59
42,2022,0,0,0,3,5.3,8.7532,6331.07
42,2023,0,1,0,3,4.52,8.9739,7894.3
42,2024,0,1,0,3,5.11,8.7757,6474.9
43,2021,1,0,0,1,4.72,9.3253,11217.74
43,2022,1,0,0,1,3.71,9.561,14199.42
43,2023,1,1,1,1,4.85,9.613,14957.73
43,2024,1,1,1,1,5.06,9.6677,15798.63
44,2021,0,0,0,2,4.28,8.949,7700.13
44,2022,0,0,0,2,4.2,9.1011,8965.08
44,2023,0,1,0,2,3.61,9.1853,9752.94
44,2024,0,1,0,2,3.88,8.9657,7830.17
45,2021,1,0,0,1,3.19,8.9543,7741.42
45,2022,1,0,0,1,4.04,9.0133,8211.26
45,2023,1,1,1,1,4.57,9.4727,12999.89
45,2024,1,1,1,1,4.28,9.3266,11232.43
46,2021,0,0,0,2,4.27,9.4072,12176.04
46,2022,0,0,0,2,4.14,9.3808,11859.04
46,2023,0,1,0,2,4.39,9.6516,15546.4
46,2024,0,1,0,2,3.75,9.63,15214.06
47,2021,0,0,0,2,4.48,8.7745,6467.25
47,2022,0,0,0,2,3.8,9.1692,9596.81
47,2023,0,1,0,2,4.06,9.0386,8421.71
47,2024,0,1,0,2,4.33,9.1328,9253.62
48,2021,1,0,0,1,4.81,8.8673,7095.83
48,2022,1,0,0,1,4.39,8.6627,5783.14
48,2023,1,1,1,1,2.99,8.8156,6738.49
48,2024,1,1,1,1,5.23,9.2073,9969.18
49,2021,1,0,0,3,2.33,9.2448,10351.09
49,2022,1,0,0,3,3.44,9.3619,11636.22
49,2023,1,1,1,3,4.89,9.4817,13116.85
49,2024,1,1,1,3,3.66,9.6997,16312.61
50,2021,1,0,0,3,4.57,9.661,15693.53
50,2022,1,0,0,3,4.65,9.8018,18065.46
50,2023,1,1,1,3,3.25,9.8433,18832.28
50,2024,1,1,1,3,4.97,10.1425,25400.96
51,2021,0,0,0,2,3.84,8.646,5687.57
51,2022,0,0,0,2,3.34,8.826,6809.02
51,2023,0,1,0,2,4.7,8.9456,7674.33
51,2024,0,1,0,2,4.9,8.8221,6782.47
52,2021,0,0,0,1,3.57,9.0968,8927.09
52,2022,0,0,0,1,4.25,9.0492,8511.45
52,2023,0,1,0,1,4.97,9.0969,8927.73
52,2024,0,1,0,1,3.98,9.2218,10115.57
53,2021,1,0,0,1,3.62,9.729,16797.51
53,2022,1,0,0,1,4.22,9.6128,14955.26
53,2023,1,1,1,1,5.01,9.7019,16349.38
53,2024,1,1,1,1,5.16,9.8371,18715.2
54,2021,1,0,0,2,4.3,8.7578,6360.11
54,2022,1,0,0,2,3.22,8.8683,7102.93
54,2023,1,1,1,2,4.91,9.2159,10055.98
54,2024,1,1,1,2,4.56,9.2804,10725.5
55,2021,1,0,0,3,3.44,9.4048,12146.87
55,2022,1,0,0,3,4.15,9.4415,12600.85
55,2023,1,1,1,3,3.95,9.9427,20799.34
55,2024,1,1,1,3,4.05,9.8361,18695.93
56,2021,1,0,0,1,4.31,8.8771,7166.23
56,2022,1,0,0,1,5.02,8.69,5943.45
56,2023,1,1,1,1,3.62,9.0448,8474.49
56,2024,1,1,1,1,3.94,9.1363,9286.41
57,2021,1,0,0,2,2.97,8.8118,6713.22
57,2022,1,0,0,2,4.28,8.7236,6146.1
57,2023,1,1,1,2,3.89,8.8304,6839.14
57,2024,1,1,1,2,4.64,9.062,8621.47
58,2021,1,0,0,3,3.6,9.2513,10418.51
58,2022,1,0,0,3,3.48,8.7393,6243.33
58,2023,1,1,1,3,4.95,9.0225,8287.16
58,2024,1,1,1,3,4.32,9.0263,8319.2
59,2021,1,0,0,2,3.68,9.7964,17969.16
59,2022,1,0,0,2,3.51,9.5439,13959.49
59,2023,1,1,1,2,3.46,9.5232,13673.23
59,2024,1,1,1,2,3.75,9.6883,16127.89
60,2021,1,0,0,1,4.11,9.4401,12583.51
60,2022,1,0,0,1,5.35,9.611,14927.58
60,2023,1,1,1,1,4.5,9.9655,21279.3
60,2024,1,1,1,1,4.49,9.7922,17893.64
61,2021,1,0,0,3,4.55,9.1268,9198.52
61,2022,1,0,0,3,3.14,8.949,7699.88
61,2023,1,1,1,3,3.8,9.2436,10338.59
61,2024,1,1,1,3,3.65,9.3565,11573.84
62,2021,1,0,0,3,3.11,9.3465,11458.83
62,2022,1,0,0,3,3.2,9.5155,13568.35
62,2023,1,1,1,3,3.08,9.5449,13972.66
62,2024,1,1,1,3,4.64,9.5822,14504.83
63,2021,1,0,0,2,4.1,8.9383,7617.97
63,2022,1,0,0,2,5.21,8.7449,6278.83
63,2023,1,1,1,2,4.53,9.1812,9712.66
63,2024,1,1,1,2,4.42,9.3318,11291.24
64,2021,0,0,0,1,4.84,9.808,18179.16
64,2022,0,0,0,1,4.36,9.7053,16404.27
64,2023,0,1,0,1,4.31,10.0516,23192.57
64,2024,0,1,0,1,5.18,10.0491,23135.08
65,2021,1,0,0,2,4.05,8.8791,7180.17
65,2022,1,0,0,2,4.08,8.6895,5939.92
65,2023,1,1,1,2,5.09,9.0302,8351.68
65,2024,1,1,1,2,4.85,9.1086,9032.64
66,2021,0,0,0,1,5.05,8.8263,6810.73
66,2022,0,0,0,1,4.05,8.8789,7178.68
66,2023,0,1,0,1,4.81,8.6752,5855.6
66,2024,0,1,0,1,4.64,9.1241,9174.06
67,2021,1,0,0,1,3.57,9.2935,10867.42
67,2022,1,0,0,1,5.29,9.4066,12168.22
67,2023,1,1,1,1,4.53,9.2681,10595.04
67,2024,1,1,1,1,3.54,9.5048,13423.51
68,2021,0,0,0,1,3.27,9.1587,9496.46
68,2022,0,0,0,1,2.93,9.204,9936.94
68,2023,0,1,0,1,4.81,9.0717,8705.19
68,2024,0,1,0,1,5.48,9.1305,9232.73
69,2021,0,0,0,1,4.31,9.3842,11899.11
69,2022,0,0,0,1,3.34,9.3303,11274.92
69,2023,0,1,0,1,5.16,9.3608,11624.0
69,2024,0,1,0,1,3.45,9.4176,12303.07
70,2021,0,0,0,2,3.63,9.3908,11977.64
70,2022,0,0,0,2,3.5,9.2157,10053.91
70,2023,0,1,0,2,3.82,9.1799,9699.89
70,2024,0,1,0,2,5.12,9.3323,11297.2
71,2021,1,0,0,1,4.94,9.448,12682.55
71,2022,1,0,0,1,3.94,9.2441,10343.13
71,2023,1,1,1,1,3.75,9.442,12607.02
71,2024,1,1,1,1,4.99,9.3083,11029.07
72,2021,0,0,0,2,4.12,8.9993,8097.77
72,2022,0,0,0,2,4.1,9.2396,10296.47
72,2023,0,1,0,2,4.33,9.2159,10055.32
72,2024,0,1,0,2,3.23,9.3944,12020.71
73,2021,0,0,0,2,4.18,9.1258,9188.9
73,2022,0,0,0,2,3.89,8.8023,6649.33
73,2023,0,1,0,2,3.85,9.2405,10306.7
73,2024,0,1,0,2,4.53,9.1875,9774.28
74,2021,1,0,0,2,3.89,9.8876,19685.64
74,2022,1,0,0,2,5.58,10.1915,26675.87
74,2023,1,1,1,2,3.62,10.1596,25838.88
74,2024,1,1,1,2,4.76,10.1324,25144.96
75,2021,0,0,0,3,2.61,9.2577,10485.44
75,2022,0,0,0,3,2.98,9.1411,9331.13
75,2023,0,1,0,3,3.36,9.2411,10312.86
75,2024,0,1,0,3,4.6,9.303,10970.38
76,2021,1,0,0,2,3.75,9.2332,10231.64
76,2022,1,0,0,2,3.32,9.2039,9935.47
76,2023,1,1,1,2,5.52,9.1952,9850.01
76,2024,1,1,1,2,4.44,9.3586,11597.56
77,2021,0,0,0,2,4.28,9.2264,10161.91
77,2022,0,0,0,2,4.7,9.3652,11674.8
77,2023,0,1,0,2,4.87,9.5385,13884.02
77,2024,0,1,0,2,3.85,9.4997,13356.01
78,2021,0,0,0,1,3.49,9.0576,8583.48
78,2022,0,0,0,1,3.73,9.2539,10445.06
78,2023,0,1,0,1,4.23,9.3557,11564.57
78,2024,0,1,0,1,5.69,9.0703,8692.85
79,2021,0,0,0,3,3.39,9.0384,8420.11
79,2022,0,0,0,3,3.43,9.1476,9392.1
79,2023,0,1,0,3,4.14,9.0512,8528.45
79,2024,0,1,0,3,5.4,9.0704,8694.23
80,2021,1,0,0,2,3.47,9.2173,10069.47
80,2022,1,0,0,2,4.77,9.5726,14365.25
80,2023,1,1,1,2,4.37,9.8264,18517.01
80,2024,1,1,1,2,4.67,9.8496,18950.13
81,2021,1,0,0,1,3.93,9.3504,11503.27
81,2022,1,0,0,1,3.62,9.4676,12934.1
81,2023,1,1,1,1,4.5,9.4371,12545.79
81,2024,1,1,1,1,5.06,9.8588,19126.37
82,2021,0,0,0,2,4.85,9.0703,8692.95
82,2022,0,0,0,2,4.09,9.1694,9599.11
82,2023,0,1,0,2,4.9,9.0239,8298.86
82,2024,0,1,0,2,5.36,9.1681,9585.93
83,2021,0,0,0,1,4.31,8.7013,6010.65
83,2022,0,0,0,1,3.74,8.7281,6174.04
83,2023,0,1,0,1,4.97,8.8021,6648.11
83,2024,0,1,0,1,3.31,9.0054,8147.14
84,2021,0,0,0,2,3.44,8.7419,6259.9
84,2022,0,0,0,2,4.14,9.0346,8388.38
84,2023,0,1,0,2,4.21,9.1015,8968.62
84,2024,0,1,0,2,5.05,9.0533,8546.82
85,2021,0,0,0,3,3.45,9.3182,11139.16
85,2022,0,0,0,3,3.97,9.232,10219.45
85,2023,0,1,0,3,3.99,9.3966,12047.86
85,2024,0,1,0,3,4.56,9.1721,9624.35
86,2021,1,0,0,1,4.13,9.9851,21700.85
86,2022,1,0,0,1,4.87,9.9246,20427.66
86,2023,1,1,1,1,4.17,10.2942,29559.47
86,2024,1,1,1,1,3.43,10.4099,33185.45
87,2021,1,0,0,2,2.93,9.3234,11197.42
87,2022,1,0,0,2,4.72,9.5274,13730.54
87,2023,1,1,1,2,3.66,9.4802,13097.17
87,2024,1,1,1,2,4.74,9.3536,11540.52
88,2021,0,0,0,1,3.82,9.3039,10980.86
88,2022,0,0,0,1,3.54,9.2236,10133.86
88,2023,0,1,0,1,5.12,9.4206,12339.62
