id,satisfaction,study_hours,attendance,part_time,online,prior_score
1,4,10.6,90.0,0,0,74.8
2,4,9.3,65.6,0,0,60.7
3,3,8.0,68.7,1,0,85.0
4,3,11.5,88.0,0,1,51.2
5,3,14.9,79.1,0,0,63.2
6,4,7.9,74.2,0,0,64.5
7,3,7.4,81.0,0,0,57.3
8,4,9.4,77.0,0,0,68.1
9,3,1.3,83.3,1,0,80.3
10,4,6.5,89.0,1,1,69.4
11,5,9.1,79.0,0,0,59.4
12,5,8.2,74.3,0,0,58.5
13,4,4.3,78.4,0,1,72.4
14,1,4.6,90.0,1,1,59.5
15,2,5.7,70.8,0,0,41.0
16,3,8.4,70.1,0,0,69.3
17,4,12.7,71.6,1,0,83.0
18,5,10.7,71.1,0,0,66.7
19,3,6.9,82.5,1,0,84.4
20,5,10.8,80.4,1,0,68.6
21,4,12.6,90.9,1,0,68.4
22,3,0.5,78.2,1,0,62.8
23,5,11.3,78.4,0,1,70.7
24,5,11.9,90.4,1,0,58.0
25,1,9.4,60.3,1,0,73.2
26,3,4.6,86.7,0,1,68.5
27,3,4.9,95.6,1,0,63.2
28,3,10.3,99.6,0,0,88.2
29,2,4.8,80.7,1,0,66.0
30,5,7.0,89.6,1,0,93.5
31,3,3.2,87.0,1,0,72.5
32,5,6.9,84.7,0,1,53.9
33,3,5.6,88.7,1,1,64.3
34,2,10.6,64.6,1,0,68.3
35,2,6.5,82.6,0,0,77.4
36,4,2.7,100,0,0,60.9
37,4,10.6,69.9,0,0,76.5
38,4,11.2,77.3,0,0,66.6
39,5,8.6,90.1,1,0,75.5
40,3,9.4,89.2,0,0,84.0
41,2,5.6,73.3,1,0,65.3
42,4,10.5,91.5,0,0,72.8
43,5,9.3,82.4,1,1,61.8
44,3,4.4,71.7,0,0,84.9
45,4,10.3,78.0,1,0,92.4
46,5,7.2,91.7,0,0,54.1
47,5,5.0,94.8,0,1,64.7
48,5,5.7,83.6,0,1,62.2
49,2,5.3,79.6,0,0,80.7
50,1,10.7,88.6,0,0,76.0
51,2,5.5,77.6,1,1,60.6
52,3,9.0,67.8,0,0,63.3
53,3,7.9,87.7,1,1,58.7
54,4,8.3,94.6,0,0,62.5
55,4,11.5,79.1,1,0,68.3
56,4,5.4,100,0,0,70.4
57,3,12.4,64.6,0,0,97.1
58,3,6.9,86.4,1,0,58.3
59,2,4.8,78.6,0,0,74.4
60,5,11.9,100,0,0,49.8
61,4,9.2,68.3,1,0,67.2
62,3,6.4,83.9,1,0,68.0
63,1,1.3,71.0,1,0,50.8
64,3,7.6,77.8,0,1,67.7
65,4,11.9,85.5,0,1,64.0
66,5,11.6,88.4,0,1,66.7
67,2,4.9,83.3,0,0,100
68,5,6.7,75.7,0,1,67.2
69,2,1.8,80.1,0,1,59.9
70,4,10.0,89.8,1,0,81.6
71,5,11.4,70.5,1,0,61.3
72,4,5.8,90.8,0,0,78.0
73,5,6.9,79.9,0,1,57.6
74,5,8.1,83.3,0,1,78.5
75,4,7.0,62.5,1,1,70.9
76,2,6.0,71.8,1,0,85.2
77,4,10.8,95.6,0,1,65.5
78,3,13.7,87.9,1,0,57.1
79,1,11.8,79.8,1,1,56.3
80,5,8.8,78.9,1,0,50.4
81,3,12.9,71.5,0,0,60.1
82,4,7.4,71.0,0,1,91.8
83,5,8.0,91.0,0,0,70.4
84,5,4.6,80.5,1,1,70.8
85,1,7.9,83.9,1,0,65.2
86,3,12.2,77.6,1,1,54.0
87,5,8.6,93.0,0,1,62.3
88,3,11.6,76.6,1,1,54.1
89,4,9.9,97.0,0,0,82.9
90,4,5.7,74.2,1,0,81.4
91,2,11.4,84.7,1,0,67.5
92,2,13.0,79.2,1,1,90.8
93,3,7.1,83.9,0,0,59.5
94,2,3.3,77.7,0,0,68.6
95,2,6.9,90.3,1,0,72.9
96,2,6.6,100,0,0,60.1
97,3,6.4,77.6,0,1,53.3
98,4,7.8,84.1,0,0,58.8
99,2,9.4,74.5,0,0,56.8
100,4,5.5,55.5,0,1,57.4
101,3,7.4,79.0,0,1,75.0
102,2,1.1,80.6,1,0,82.9
103,1,9.8,84.1,1,0,52.9
104,5,8.2,83.7,0,0,79.2
105,5,9.5,89.3,0,1,73.3
106,1,8.1,76.8,1,0,46.9
107,3,10.0,99.2,0,0,71.7
108,3,6.4,88.8,1,0,66.3
109,5,2.8,91.1,0,0,59.1
110,1,5.7,78.6,0,0,64.7
111,3,12.2,89.5,0,1,76.1
112,4,11.8,100,1,0,57.0
113,5,12.5,72.9,1,0,82.5
114,3,8.2,88.2,1,0,56.3
115,3,11.3,79.9,0,0,84.2
116,5,6.1,81.5,0,1,86.2
117,1,4.4,80.0,1,1,83.6
118,4,8.9,93.4,1,0,60.8
119,1,4.7,85.0,1,0,71.8
120,1,9.1,74.5,0,0,66.0
121,3,6.8,79.0,0,0,65.9
122,3,5.5,72.7,0,0,91.0
123,3,9.8,73.5,0,0,49.0
124,2,9.9,72.3,1,0,60.6
125,3,11.3,84.4,1,1,58.6
126,5,7.7,81.8,0,0,65.2
127,2,10.1,88.7,1,1,73.9
128,4,10.7,100,1,1,90.4
129,5,7.6,99.9,0,0,74.3
130,5,8.9,85.8,0,0,90.6
131,3,7.2,81.2,0,0,60.1
132,4,2.6,100,0,0,55.9
133,3,8.9,81.4,1,0,67.7
134,4,8.4,100,1,0,75.4
135,3,4.5,78.5,0,0,78.6
136,1,8.9,74.7,1,0,70.0
137,2,7.1,76.4,1,0,57.1
138,4,7.9,78.3,1,1,62.2
139,5,12.9,99.3,0,0,74.0
140,1,4.9,78.6,0,1,58.2
141,3,2.3,99.8,0,0,54.9
142,3,6.5,81.4,0,1,52.0
143,4,8.1,90.5,0,0,58.6
144,4,7.0,91.0,0,0,66.1
145,2,8.2,93.3,0,0,50.3
146,3,7.9,91.6,1,0,79.9
147,1,5.6,84.9,1,0,84.0
148,2,8.1,87.3,1,0,56.7
149,3,8.6,66.0,0,1,67.2
150,3,4.9,79.7,0,1,74.7
151,2,6.5,67.0,0,0,79.9
152,3,4.7,89.9,0,0,75.0
153,5,6.1,76.3,0,0,64.2
