id,subscribe,age,income,college,married,female,smartphone_hours
1,0,28.5,450.8,1,1,0,1.7
2,0,39.1,480.6,1,1,1,0.5
3,0,43.3,421.0,0,1,0,0.4
4,0,40.2,503.0,0,0,1,2.7
5,0,43.7,417.9,0,0,1,0.9
6,0,23.1,434.7,1,0,1,0.5
7,0,26.6,700.3,0,1,1,3.8
8,1,41.1,427.3,0,1,1,5.1
9,1,25.1,560.1,1,1,0,2.3
10,0,36.8,391.6,0,0,0,2.9
11,0,49.5,120.0,1,0,0,2.2
12,0,43.0,440.5,0,1,1,2.4
13,1,23.2,598.5,1,1,0,3.3
14,1,43.0,427.7,1,1,0,4.0
15,0,38.1,875.2,1,1,1,0.5
16,0,37.8,285.5,0,1,0,0.0
17,0,58.6,666.9,0,0,1,3.1
18,1,44.2,638.8,0,0,0,2.7
19,0,35.4,502.1,1,1,1,4.7
20,0,43.6,456.8,1,0,1,2.2
21,1,38.1,380.5,0,0,0,4.5
22,0,27.8,373.7,0,0,0,2.9
23,0,40.3,672.9,0,0,0,3.3
24,0,39.6,521.4,1,1,1,2.8
25,0,61.7,652.8,1,0,1,1.1
26,1,29.2,555.5,1,0,1,1.4
27,1,41.3,799.5,1,0,1,4.3
28,1,32.1,591.5,1,0,1,4.7
29,0,54.7,774.1,1,0,0,2.1
30,0,49.2,520.9,0,1,1,3.3
31,0,42.3,899.8,0,1,1,2.8
32,1,30.0,865.9,1,0,1,3.1
33,0,18.0,561.3,1,1,0,1.3
34,0,45.3,536.6,0,1,1,2.1
35,0,41.5,624.1,1,0,0,3.6
36,0,43.5,724.0,1,1,1,2.7
37,1,19.9,365.1,1,1,1,4.4
38,0,38.3,354.0,0,0,1,2.6
39,0,40.1,355.0,1,1,0,5.5
40,0,54.6,720.4,0,0,0,3.7
41,0,23.8,473.4,1,0,0,1.5
42,0,47.0,784.1,0,0,1,1.2
43,0,30.9,606.8,0,1,1,3.2
44,1,46.0,412.6,0,0,0,2.9
45,0,44.8,526.9,0,0,0,0.8
46,0,41.7,502.9,0,0,0,3.0
47,0,31.6,635.4,0,1,0,4.7
48,1,51.6,680.5,1,1,1,5.3
49,1,39.9,707.4,1,0,1,3.7
50,1,43.9,566.5,0,0,0,7.1
51,0,23.4,619.2,1,1,0,4.1
52,0,18.0,410.8,1,0,1,3.4
53,1,49.1,497.9,1,1,1,4.2
54,0,38.9,646.8,1,0,0,1.0
55,0,41.3,394.2,1,0,0,1.8
56,0,43.5,587.0,1,1,0,1.4
57,1,21.2,709.2,1,1,1,2.0
58,1,21.9,612.3,1,0,1,2.7
59,0,51.6,590.1,1,1,1,1.7
60,0,24.1,470.4,0,1,1,2.0
61,0,33.4,120.6,1,0,1,3.0
62,1,32.6,522.3,1,1,1,3.0
63,1,41.4,567.6,1,0,1,5.2
64,0,39.7,641.9,1,0,0,3.1
65,0,53.8,373.7,0,0,0,1.7
66,1,31.1,979.1,0,0,1,6.3
67,0,21.1,802.4,0,0,1,3.7
68,1,39.4,716.5,1,1,0,1.9
69,0,41.3,694.9,1,1,0,2.7
70,1,38.9,916.0,0,0,0,4.8
71,1,47.4,572.9,1,0,0,4.1
72,0,47.9,397.6,1,1,0,1.4
73,1,26.1,333.7,1,0,0,3.2
74,1,41.5,684.4,0,1,0,4.5
75,0,43.4,626.5,1,0,0,2.6
76,1,47.4,567.0,1,0,1,1.4
77,0,63.2,706.2,1,1,1,1.7
78,1,29.9,647.0,1,0,0,2.2
79,1,18.0,669.7,1,1,0,4.1
80,1,24.8,229.2,1,1,1,2.8
81,0,63.3,310.9,1,1,1,1.3
82,0,26.2,500.7,1,0,0,3.3
83,0,38.0,692.0,1,1,1,1.4
84,0,33.0,781.3,0,0,0,1.6
85,0,18.0,372.5,1,1,0,3.3
86,0,49.3,528.9,0,1,0,2.5
87,0,28.5,642.0,1,0,1,4.9
88,0,18.0,400.0,0,0,1,3.6
89,0,55.3,700.1,0,0,1,2.7
90,0,29.7,279.9,0,1,1,1.9
91,0,27.4,442.8,0,0,0,1.3
92,0,44.4,420.8,0,0,0,0.7
93,0,27.8,448.1,1,1,1,1.9
94,1,35.6,588.7,1,0,1,3.0
95,0,47.6,120.0,0,0,0,1.3
96,0,49.5,209.0,0,0,1,2.4
97,0,49.9,626.1,1,1,1,3.2
98,0,20.3,440.7,0,0,0,3.7
99,0,37.2,795.8,1,0,0,6.0
100,1,32.5,614.4,1,1,0,4.6
101,1,42.4,406.2,0,0,1,2.8
102,0,18.0,457.2,1,0,1,2.5
103,0,36.5,244.3,1,0,0,1.1
104,1,25.3,700.1,0,1,0,3.0
105,1,37.1,427.3,0,0,1,5.3
106,0,51.9,482.1,1,0,0,1.9
107,0,45.4,608.2,1,1,1,2.3
108,0,28.3,283.8,1,1,0,3.7
109,0,26.3,355.4,1,1,0,1.4
110,0,28.6,601.8,1,1,1,3.7
111,1,46.9,748.3,0,0,0,2.6
112,0,20.7,643.4,0,1,0,3.5
113,1,39.6,865.4,1,0,0,4.4
114,0,49.5,450.8,0,0,0,2.8
115,1,38.6,473.6,1,0,0,4.2
116,0,29.4,403.3,0,1,0,4.3
117,0,36.4,380.3,1,1,0,4.5
118,0,36.4,632.2,0,1,1,5.3
119,0,52.5,606.2,0,1,0,2.3
120,0,24.8,520.9,1,1,1,1.5
121,0,26.9,279.5,0,0,0,2.4
122,0,36.1,460.6,1,0,1,1.8
123,0,29.6,626.9,1,0,0,4.9
124,1,28.7,391.5,0,1,1,6.1
125,1,24.9,243.0,1,1,1,3.1
126,1,34.2,591.5,0,0,1,2.0
127,0,31.0,214.4,0,0,0,2.7
128,0,22.0,486.0,1,0,1,1.5
129,0,37.9,537.9,0,0,1,2.1
130,0,18.2,412.9,0,0,0,2.7
131,0,66.1,608.6,0,0,0,2.1
132,0,30.3,337.2,0,0,1,2.5
133,1,37.6,464.4,1,0,1,3.8
134,1,33.0,577.8,1,0,1,2.3
135,0,34.3,264.5,1,1,1,1.3
136,0,33.2,548.3,0,0,1,1.4
137,0,39.7,675.3,1,0,0,2.3
138,0,25.3,324.0,1,0,0,1.7
139,1,27.7,529.9,0,1,0,4.1
140,0,43.5,482.4,1,1,1,3.4
141,0,30.6,569.4,1,1,1,1.7
142,0,24.4,405.0,1,0,0,1.2
143,0,19.9,507.5,1,0,1,0.6
144,1,40.5,649.6,1,0,1,1.4
145,0,36.0,512.4,1,1,1,3.5
146,0,57.1,587.1,1,0,0,1.3
147,0,34.6,573.9,0,1,0,3.8
148,1,30.1,552.5,1,0,1,3.2
149,0,48.7,228.1,1,0,1,2.6
150,0,32.9,679.4,1,1,1,2.9
151,1,52.8,674.3,0,1,1,2.1
152,0,18.8,594.5,0,0,0,2.5
153,1,54.8,863.5,1,0,1,0.0
154,1,31.1,585.6,0,0,0,2.7
155,1,36.5,482.5,1,0,0,5.9
156,0,23.4,892.7,1,0,1,2.4
157,0,42.2,714.7,1,0,1,1.0
