id,wage,lwage,educ,exper,exper2,female,urban
1,11.27,2.4222,13,17.0,290.24,1,0
2,15.6,2.747,15,8.7,75.94,1,0
3,16.43,2.799,14,16.1,258.55,1,1
4,14.34,2.663,12,8.9,79.59,1,0
5,15.36,2.7317,16,0.0,0.0,1,0
6,10.08,2.3104,12,6.1,37.25,1,1
7,15.19,2.7205,15,8.8,77.69,0,0
8,30.34,3.4126,15,25.5,652.0,1,1
9,13.66,2.6147,13,21.3,455.7,1,1
10,22.32,3.1054,16,14.0,197.02,1,1
11,10.34,2.3362,16,9.4,89.0,0,0
12,15.99,2.7718,14,17.3,297.63,1,1
13,33.18,3.5018,13,26.5,700.66,1,1
14,25.37,3.2336,12,27.8,772.56,0,0
15,22.34,3.1064,12,25.7,659.73,1,0
16,11.23,2.4186,12,21.6,467.28,0,0
17,27.62,3.3187,11,14.3,205.86,0,0
18,13.76,2.6221,16,12.1,146.19,0,1
19,23.19,3.1438,10,17.3,300.56,0,1
20,11.33,2.427,13,5.4,29.69,1,1
21,7.13,1.965,9,9.1,82.43,1,1
22,16.19,2.7843,13,6.6,44.12,1,1
23,10.82,2.381,13,4.0,16.27,0,0
24,9.24,2.2233,12,1.3,1.62,1,0
25,14.75,2.6912,13,11.4,129.64,0,1
26,15.89,2.7657,13,10.5,109.64,0,0
27,15.07,2.7126,16,20.7,427.93,1,0
28,24.03,3.1794,15,16.3,265.08,0,1
29,17.89,2.884,14,11.5,131.58,0,0
30,19.19,2.9546,15,14.9,220.87,0,1
31,19.48,2.9694,15,10.7,114.08,0,0
32,17.85,2.8818,13,15.3,232.57,1,0
33,11.04,2.4018,14,7.8,60.38,1,1
34,13.06,2.5693,13,6.4,40.53,0,1
35,6.92,1.9341,10,21.4,458.39,0,1
36,11.76,2.4644,13,26.3,691.09,0,1
37,10.7,2.3699,12,8.8,78.21,0,0
38,10.44,2.3458,15,7.0,48.75,1,1
39,9.17,2.2155,11,3.7,14.02,0,0
40,30.76,3.4263,11,24.4,595.86,0,1
41,12.48,2.5238,15,10.4,108.89,0,0
42,11.46,2.4388,13,0.0,0.0,1,1
43,49.92,3.9104,14,34.5,1188.72,1,1
44,19.99,2.9951,14,10.2,104.08,0,1
45,20.02,2.9968,10,11.2,124.49,0,1
46,9.82,2.2845,9,13.1,172.85,0,1
47,29.67,3.39,17,17.6,310.22,1,1
48,6.55,1.8801,11,13.7,187.0,0,0
49,9.69,2.2712,15,0.0,0.0,1,0
50,36.4,3.5945,14,10.3,106.61,1,1
51,20.21,3.006,14,9.9,98.88,0,1
52,9.85,2.2872,12,19.2,367.14,0,1
53,6.12,1.8111,13,2.3,5.08,1,0
54,13.88,2.6303,13,11.9,142.17,1,0
55,5.11,1.6312,15,4.2,17.81,1,1
56,8.41,2.1294,9,22.6,512.73,0,0
57,21.02,3.0452,15,13.7,186.65,1,1
58,10.47,2.3483,14,0.0,0.0,1,1
59,13.79,2.6242,12,14.0,195.12,0,1
60,16.41,2.798,11,13.9,192.16,0,1
61,13.59,2.6095,16,11.3,126.97,0,0
62,25.89,3.2539,15,18.5,340.52,0,0
63,10.72,2.3724,13,5.2,26.94,1,1
64,12.51,2.5263,12,3.1,9.84,0,1
65,23.31,3.1488,16,16.9,284.57,0,0
66,9.95,2.298,18,1.1,1.14,1,0
67,7.27,1.9841,12,4.1,16.72,0,0
68,18.21,2.9022,15,6.8,46.76,1,0
69,15.54,2.7434,15,13.6,184.16,0,1
70,14.48,2.6726,9,28.0,784.54,0,1
71,51.34,3.9385,14,16.1,259.68,0,0
72,10.84,2.3834,13,14.9,223.29,1,1
73,9.9,2.2926,13,17.9,320.15,1,0
74,9.93,2.2951,15,0.0,0.0,0,1
75,10.93,2.3916,11,13.1,172.15,1,1
76,12.83,2.5519,14,9.1,83.39,0,1
77,10.92,2.3906,11,16.3,264.26,1,0
78,19.34,2.9622,12,14.3,205.22,1,0
79,30.62,3.4217,17,8.0,63.89,0,1
80,6.55,1.8795,10,7.1,50.27,0,0
81,7.88,2.0644,13,9.8,96.81,1,0
82,11.43,2.4359,12,11.5,131.86,1,0
83,16.89,2.8266,17,3.0,8.74,1,0
84,14.03,2.6415,14,19.0,359.71,1,0
85,14.78,2.6934,14,8.0,63.85,0,0
86,7.53,2.0195,12,11.1,122.99,1,0
87,30.63,3.422,17,14.8,217.87,0,1
88,10.6,2.3612,14,12.3,151.95,1,0
89,21.37,3.0621,13,13.8,191.68,0,0
90,5.49,1.7034,9,17.2,294.14,0,1
91,17.84,2.8813,16,14.2,203.01,0,1
92,13.18,2.579,17,22.2,494.25,0,0
93,10.74,2.3737,15,1.3,1.62,1,0
94,8.18,2.1019,11,6.4,41.49,1,0
95,17.94,2.887,15,16.1,260.47,1,1
96,27.29,3.3065,13,14.7,215.22,1,0
97,11.42,2.4352,12,5.0,24.55,0,1
98,17.54,2.8644,12,16.1,258.96,0,0
99,16.65,2.8126,13,7.1,51.11,1,1
100,15.32,2.7294,12,26.2,688.15,0,1
101,24.59,3.2023,15,19.3,371.75,0,0
102,12.32,2.5109,16,4.2,17.41,0,0
103,7.58,2.0252,10,0.0,0.0,0,0
104,9.22,2.2211,15,0.0,0.0,0,0
105,19.68,2.9797,13,28.9,836.36,0,1
106,24.39,3.1942,15,20.5,418.89,0,0
107,9.78,2.2806,13,2.0,4.06,1,1
108,16.47,2.8018,13,17.4,301.54,0,0
109,19.51,2.9708,14,5.8,34.16,1,0
110,11.56,2.4473,14,17.5,305.95,0,1
111,13.85,2.6285,11,20.7,427.45,0,1
112,11.07,2.4039,12,10.7,114.03,0,1
113,19.88,2.9895,13,9.1,83.64,0,0
114,16.53,2.8049,9,19.2,369.32,0,0
115,33.03,3.4975,16,19.7,388.48,0,0
116,9.21,2.2204,11,15.6,242.36,1,1
117,16.04,2.775,12,12.6,158.36,0,1
118,11.93,2.4789,13,7.1,50.28,0,1
119,14.99,2.7076,11,13.6,184.86,1,1
120,32.33,3.476,15,15.0,224.5,1,1
121,4.39,1.4792,12,23.3,543.4,1,0
122,11.8,2.4677,14,15.5,240.96,0,0
123,11.26,2.4211,14,3.9,15.12,0,0
124,14.63,2.6829,15,2.6,6.82,0,0
125,14.39,2.6666,11,4.2,17.38,1,1
126,12.83,2.5521,9,22.0,484.65,1,0
127,10.42,2.3433,14,20.7,429.35,1,0
128,23.38,3.152,14,24.5,602.06,0,1
129,10.52,2.3528,13,13.1,171.03,1,1
130,16.99,2.8325,12,16.4,268.63,0,1
131,19.59,2.975,13,6.7,44.51,1,1
132,14.67,2.6859,12,27.0,730.29,1,1
133,15.45,2.7373,11,9.2,84.12,1,1
134,9.66,2.2684,14,21.6,468.58,1,1
135,17.18,2.8438,17,12.5,156.3,0,0
136,13.28,2.5862,11,16.3,265.34,1,1
137,11.61,2.4515,12,0.0,0.0,1,1
138,16.65,2.8121,11,4.3,18.44,1,0
139,18.64,2.9255,11,12.3,151.0,1,0
140,20.17,3.0041,12,18.4,339.11,1,0
141,10.11,2.3132,12,4.1,16.79,1,1
142,10.9,2.3888,15,8.6,74.23,0,1
143,17.81,2.8797,13,8.9,78.56,0,1
144,18.51,2.9185,14,13.1,170.58,0,1
145,35.08,3.5576,14,17.3,300.12,0,1
146,13.44,2.5984,9,13.3,178.21,0,1
147,16.01,2.773,9,16.1,258.77,1,1
148,8.93,2.1895,14,19.7,387.36,1,0
149,10.94,2.3928,13,12.4,153.89,1,1
150,19.41,2.9659,14,21.0,440.16,1,0
151,6.76,1.9114,12,6.6,44.14,1,0
152,22.6,3.1181,15,19.0,359.67,0,1
153,23.05,3.1378,15,12.0,143.59,1,0
154,17.2,2.8448,11,3.6,13.2,0,1
155,16.67,2.8138,16,8.5,72.87,0,1
156,12.82,2.5506,16,20.0,401.67,1,0
157,13.43,2.5975,13,0.6,0.35,0,0
158,13.56,2.6068,13,21.2,450.1,0,0
159,14.22,2.6543,10,26.2,685.74,0,1
160,19.87,2.9891,12,15.7,245.59,0,1
161,8.27,2.1131,13,13.4,178.75,1,0
162,16.82,2.8223,16,9.5,89.62,0,0
163,9.03,2.2001,15,0.0,0.0,1,1
164,11.65,2.4553,14,23.9,571.99,1,0
165,16.2,2.7851,15,14.1,200.13,1,0
166,12.33,2.5123,14,19.5,381.86,0,1
167,7.18,1.9719,12,0.0,0.0,0,0
168,20.83,3.0364,16,10.4,107.52,1,1
169,11.42,2.4355,12,20.2,406.09,1,1
170,17.88,2.8836,15,12.0,145.02,0,0
171,13.54,2.6058,13,15.5,240.79,1,1
172,11.16,2.4128,13,10.1,102.71,0,0
173,10.59,2.3596,13,10.2,104.88,0,1
174,26.41,3.2738,13,17.2,294.77,0,1
175,17.34,2.8528,10,17.4,302.42,0,0
176,12.37,2.5149,14,20.5,419.07,1,0
177,17.91,2.8853,15,5.3,28.36,1,0
178,25.41,3.2353,12,24.0,577.52,0,1
179,24.25,3.1884,12,14.1,199.35,0,1
180,10.7,2.3701,15,6.5,41.8,1,1
181,48.18,3.8749,14,26.1,682.07,0,0
182,12.01,2.4859,13,0.0,0.0,1,0
183,11.48,2.4408,14,6.0,35.59,1,1
184,20.51,3.0209,13,18.0,325.36,0,0
185,12.86,2.554,14,18.3,335.87,0,1
186,29.21,3.3745,13,20.3,412.66,0,1
187,13.02,2.5665,12,12.6,159.06,0,0
188,20.83,3.0365,13,14.7,216.71,1,1
189,16.62,2.8106,16,8.9,79.81,1,1
190,10.34,2.3363,9,11.4,129.82,0,0
191,6.65,1.8948,12,11.8,139.47,1,1
192,7.42,2.0036,9,6.3,39.76,1,0
193,31.63,3.4542,17,13.0,169.35,1,0
194,16.43,2.799,15,8.7,74.97,1,0
