idcode,age,married,never_1,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,ln_wage,hours,ttl_exp,tenure,collgrad_ttl_exp,race,un_union
1,37,0,0,12,0,0,SMSA,0,Transport/Comm/Utility,Operatives,1,11.73913,2.462927706,48,10.33333,5.333333,0,0,0
2,37,0,0,12,0,0,SMSA,1,Manufacturing,Craftsmen,1,6.400963,1.856448448,40,13.62179,5.25,0,0,0
3,42,0,1,12,0,0,SMSA,1,Manufacturing,Sales,,5.016723,1.612776932,40,17.73077,1.25,0,0,
4,43,1,0,17,1,0,SMSA,0,Professional Services,Other,1,9.033813,2.200974537,42,13.21154,1.75,13.21154,1,0
6,42,1,0,12,0,0,SMSA,0,Manufacturing,Operatives,0,8.083731,2.089853523,48,17.82051,17.75,0,1,1
7,39,1,0,12,0,0,SMSA,0,Professional Services,Sales,0,4.62963,1.532476951,30,7.326923,2.25,0,1,1
9,37,0,0,12,0,0,SMSA,1,Transport/Comm/Utility,Managers/admin,1,10.49114,2.350531091,40,19.04487,19,0,1,0
12,40,1,0,18,1,0,SMSA,0,Professional Services,Managers/admin,0,17.20612,2.845265134,45,15.55769,14.16667,15.55769,1,1
13,40,1,0,14,0,0,SMSA,0,Professional Services,Sales,0,13.08374,2.571370238,8,14.25,5.5,0,1,1
14,40,1,0,15,0,0,SMSA,0,Professional Services,Professional/technical,0,7.745568,2.047120809,50,7.384615,2.25,0,1,1
15,39,1,0,16,1,0,SMSA,0,Professional Services,Professional/technical,1,16.79548,2.821109803,16,15.76923,8.416667,15.76923,1,0
16,40,1,0,15,0,0,SMSA,0,Professional Services,Professional/technical,0,15.48309,2.739748461,40,16.38461,13.83333,0,1,1
18,40,1,0,15,0,0,SMSA,0,Wholesale/Retail Trade,Craftsmen,0,5.233495,1.655079315,40,7.75,7.75,0,1,1
19,40,0,0,15,0,0,SMSA,0,Professional Services,Professional/technical,1,10.16103,2.318559815,40,14.21154,5.583333,0,1,0
20,39,1,0,15,0,0,SMSA,0,Professional Services,Professional/technical,1,9.661837,2.268183796,4,15.85897,4.666667,0,1,0
22,41,1,0,15,0,0,SMSA,0,Professional Services,Professional/technical,0,9.057972,2.203645254,32,15.01282,3,0,1,1
23,42,1,0,15,1,0,nonSMSA,0,Professional Services,Professional/technical,0,8.05153,2.085862135,45,15.34616,8.083333,15.34616,1,1
24,41,1,0,14,1,0,SMSA,0,Professional Services,Professional/technical,0,11.09501,2.406495458,24,16.46795,3.416667,16.46795,1,1
25,42,1,0,14,1,0,SMSA,1,Professional Services,Professional/technical,0,9.581316,2.259814952,40,17.75,5.416667,17.75,1,1
36,37,0,1,12,0,0,SMSA,0,Business/Repair Svc,Clerical/unskilled,,4.180602,1.430455255,40,15.9359,0.9166667,0,1,
39,44,0,0,16,1,0,SMSA,0,Professional Services,Professional/technical,0,9.790657,2.281428564,40,8.839744,7.916667,8.839744,1,1
44,41,1,0,18,1,0,SMSA,0,Public Administration,Professional/technical,1,28.45666,3.348382228,35,16.20513,3.5,16.20513,1,0
45,35,1,0,12,0,0,SMSA,0,Transport/Comm/Utility,Sales,1,10.18518,2.320933723,38,17.25,17.25,0,1,0
46,44,1,0,18,1,0,SMSA,0,Professional Services,Sales,0,3.051529,1.115642776,25,5.544872,2.916667,5.544872,1,1
47,35,0,0,12,0,0,SMSA,0,Transport/Comm/Utility,Craftsmen,0,3.526568,1.26032516,40,8.737179,0.75,0,1,1
48,35,0,0,15,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,,5.852843,1.766927526,40,5.557693,0.3333333,0,1,
50,36,0,0,16,1,0,SMSA,1,Professional Services,Professional/technical,,35.73162,3.576036011,45,9.423077,6.416667,9.423077,1,
51,38,1,0,12,0,0,SMSA,0,Professional Services,Professional/technical,0,4.428341,1.488025022,18,10.26923,3.25,0,1,1
54,40,0,1,12,0,0,SMSA,1,Professional Services,Laborers,0,5.032206,1.615858457,55,10.39744,0.75,0,1,1
57,42,1,0,12,0,0,SMSA,1,Wholesale/Retail Trade,Sales,0,5.780996,1.754575986,40,12.84615,7.25,0,1,1
62,38,1,0,10,0,0,nonSMSA,0,Wholesale/Retail Trade,Sales,0,5.11272,1.631731552,40,7.365385,5.916667,0,1,1
63,44,0,0,15,1,0,SMSA,1,Professional Services,Professional/technical,1,25.1606,3.225279279,18,10.38461,2.083333,10.38461,1,0
64,38,1,0,12,0,0,SMSA,0,Professional Services,Laborers,1,4.404185,1.482555225,30,7.384615,3.333333,0,1,0
66,39,1,0,13,0,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,0,4.710144,1.549718481,9,11.48077,9.75,0,1,1
67,40,1,0,15,0,0,nonSMSA,0,Professional Services,Professional/technical,0,8.05153,2.085862135,24,11.03846,3.166667,0,1,1
70,36,1,0,13,0,0,nonSMSA,0,Transport/Comm/Utility,Sales,0,16.73912,2.817748495,38,16.08333,16.08333,0,1,1
71,34,1,0,12,0,0,nonSMSA,0,Manufacturing,Sales,0,5.724636,1.744778967,38,10.5,2.5,0,1,1
72,36,1,0,12,0,0,SMSA,0,Professional Services,Sales,1,7.458193,2.00931316,40,9.442307,1.083333,0,1,0
73,36,0,1,14,0,0,nonSMSA,0,Manufacturing,Sales,,6.793478,1.915963034,40,14.44231,0.5,0,1,
75,39,0,0,11,0,0,nonSMSA,0,Manufacturing,Operatives,1,12.5,2.525728644,40,14.5,9.333333,0,0,0
78,40,1,0,12,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,0,17.69726,2.873409825,35,16.32692,9.083333,0,1,1
80,45,1,0,14,0,0,SMSA,0,Professional Services,Sales,0,12.0773,2.491327658,8,5.717949,0,0,1,1
85,38,0,0,11,0,0,SMSA,1,Manufacturing,Sales,,9.406354,2.241385418,40,6.192307,1.5,0,1,
86,44,0,1,17,1,0,SMSA,0,Entertainment/Rec Svc,Laborers,1,13.17229,2.578115381,44,16.26923,1.25,16.26923,1,0
103,36,1,0,18,1,0,SMSA,1,Professional Services,Other,1,11.0628,2.403588129,35,9.833333,0,9.833333,1,0
104,41,1,0,17,1,0,SMSA,0,Professional Services,Other,0,3.743959,1.320143608,18,8.948718,2.75,8.948718,1,1
105,41,1,0,16,1,0,SMSA,0,Wholesale/Retail Trade,Sales,0,4.025765,1.392714955,8,8.788462,5.583333,8.788462,1,1
106,38,0,0,12,0,1,SMSA,1,Public Administration,Sales,0,10.83736,2.382999424,40,17.41667,17.41667,0,0,1
107,43,0,0,8,0,0,SMSA,1,Manufacturing,Operatives,1,4.347824,1.46967549,40,7.544871,1.083333,0,0,0
110,45,1,0,12,0,0,SMSA,0,Professional Services,Sales,1,4.710144,1.549718481,20,6.660256,2.583333,0,1,0
121,39,1,0,12,0,0,SMSA,1,Transport/Comm/Utility,Sales,1,9.726243,2.274827696,38,20.69872,20.66667,0,0,0
123,41,0,0,6,0,0,SMSA,1,Business/Repair Svc,Operatives,1,2.898549,1.064210267,37,7.320513,0.75,0,2,0
126,39,0,0,12,0,0,SMSA,1,Professional Services,Professional/technical,0,10.06441,2.309005438,40,19.75,19.75,0,0,1
128,36,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,0,8.518515,2.14224203,40,19.03205,19,0,1,1
129,43,0,0,12,0,0,SMSA,0,Professional Services,Sales,0,8.49436,2.139402414,37,14.23077,10.16667,0,1,1
130,43,1,0,12,0,0,SMSA,0,Manufacturing,Sales,0,5.600358,1.722830524,40,6.153846,0.6666667,0,1,1
131,41,0,0,12,0,0,SMSA,1,Professional Services,Sales,1,4.227053,1.44150506,38,12.26282,0.25,0,1,0
132,36,0,0,10,0,0,SMSA,1,Manufacturing,Operatives,0,5.619967,1.726325792,43,10.24359,2.666667,0,1,1
134,42,1,0,12,0,0,SMSA,0,Public Administration,Managers/admin,0,4.64573,1.535948518,30,6.128205,1.5,0,1,1
137,36,1,0,17,1,0,SMSA,0,Professional Services,Other,1,15.48309,2.739748461,30,9.833333,9.833333,9.833333,0,0
139,44,0,0,9,0,0,SMSA,1,Professional Services,Sales,1,4.830918,1.575036512,35,8.5,8.5,0,0,0
141,43,0,0,14,0,0,SMSA,0,Professional Services,Sales,,40.19808,3.693819233,40,12.91026,1.166667,0,1,
142,43,1,0,18,1,0,SMSA,0,Professional Services,Professional/technical,1,15.48309,2.739748461,40,15.11538,5.75,15.11538,1,0
143,37,1,0,15,0,0,SMSA,0,Professional Services,Professional/technical,0,10.03344,2.305923514,40,7.076923,0.5833333,0,1,1
144,43,1,0,10,0,1,SMSA,0,Ag/Forestry/Fisheries,Sales,0,3.623188,1.287354301,40,14.32692,0.3333333,0,1,1
147,40,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,0,9.299514,2.229962141,20,7.666667,3.083333,0,1,1
152,37,1,0,18,1,0,SMSA,0,Professional Services,Other,1,10.21739,2.324091171,50,13.67308,4.833333,13.67308,1,0
159,36,1,0,11,0,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,0,10.00805,2.303389769,37,17.39744,17.33333,0,1,1
166,38,1,0,14,0,0,SMSA,0,Professional Services,Other,0,4.227053,1.44150506,4,10.60256,1.083333,0,1,1
167,37,1,0,13,0,1,nonSMSA,0,Construction,Sales,0,4.830918,1.575036512,25,16.98077,7.5,0,1,1
168,41,1,0,17,1,1,SMSA,0,Professional Services,Other,0,7.745568,2.047120809,40,11.30128,3.833333,11.30128,1,1
169,36,0,0,16,1,0,SMSA,0,Professional Services,Other,1,9.847019,2.28716877,37,14.83333,14.83333,14.83333,1,0
172,44,1,0,15,1,0,SMSA,1,Professional Services,Professional/technical,0,10.86957,2.385967142,30,17.83333,3.416667,17.83333,1,1
173,43,0,0,12,0,0,SMSA,1,Personal Services,Transport,,3.220612,1.169571404,35,11.50641,2.916667,0,0,
176,38,0,1,12,0,0,SMSA,1,Public Administration,Professional/technical,1,8.164251,2.099764989,40,12.84615,3.5,0,0,0
183,43,0,0,12,0,0,SMSA,0,Manufacturing,Managers/admin,1,8.454107,2.134652359,40,17.1218,13.25,0,1,0
184,41,1,0,12,0,0,SMSA,0,Professional Services,Sales,0,8.293073,2.115420588,40,13.78846,12.08333,0,1,1
188,41,1,0,12,0,0,SMSA,0,Manufacturing,Sales,1,9.677936,2.269848655,40,13.26923,8.416667,0,1,0
195,36,1,0,12,0,0,SMSA,0,Ag/Forestry/Fisheries,Sales,0,4.53301,1.511386178,40,12.80128,2.166667,0,1,1
202,36,0,0,14,0,1,nonSMSA,0,Wholesale/Retail Trade,Laborers,,3.344482,1.207311824,30,11.55128,0.25,0,1,
203,41,1,0,11,0,1,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,0,8.454107,2.134652359,24,19.00641,3.166667,0,1,1
204,38,1,0,10,0,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,0,6.038648,1.798180146,40,5.596154,4,0,0,1
206,37,1,0,14,0,0,SMSA,1,Professional Services,Professional/technical,0,10.32206,2.334283353,18,10.33333,1.333333,0,1,1
207,38,0,1,18,1,0,SMSA,1,Professional Services,Professional/technical,1,11.6103,2.451892635,50,13.26923,2.083333,13.26923,0,0
210,37,0,0,11,0,0,SMSA,0,Manufacturing,Operatives,,5.016723,1.612776932,40,15.64103,10.91667,0,0,
213,43,0,0,10,0,0,SMSA,1,Manufacturing,Operatives,0,6.441224,1.862718584,40,16.90385,14.41667,0,1,1
215,36,0,1,16,1,0,SMSA,0,Wholesale/Retail Trade,Sales,0,5.032206,1.615858457,40,15.85256,3.75,15.85256,1,1
218,35,1,0,12,0,0,nonSMSA,0,Professional Services,Managers/admin,0,4.830918,1.575036512,38,10.11538,2.083333,0,1,1
219,35,0,1,13,0,0,SMSA,1,Professional Services,Laborers,0,11.07085,2.404315528,40,16.85897,8.916667,0,1,1
221,40,1,0,16,1,0,SMSA,0,Manufacturing,Professional/technical,0,8.317226,2.118328786,35,9.256411,1.833333,9.256411,1,1
223,37,0,0,16,1,0,SMSA,0,Entertainment/Rec Svc,Professional/technical,0,13.08374,2.571370238,40,15.91667,8.75,15.91667,1,1
224,38,1,0,13,0,0,SMSA,0,Professional Services,Sales,1,5.628018,1.727757338,40,10.78846,4.666667,0,1,0
225,35,0,0,16,1,0,SMSA,0,Manufacturing,Managers/admin,0,12.56039,2.530548212,45,16.69231,15.75,16.69231,1,1
226,34,1,0,16,1,1,SMSA,0,Public Administration,Professional/technical,0,6.682766,1.899531974,40,7.692307,6.666667,7.692307,1,1
227,42,0,0,15,0,1,SMSA,1,Manufacturing,Sales,0,5.636071,1.729187192,40,18.78846,1.333333,0,1,1
228,42,1,0,16,1,1,SMSA,0,Finance/Ins/Real Estate,Sales,0,4.025765,1.392714955,15,4.980769,0.3333333,4.980769,1,1
231,42,1,0,16,1,0,SMSA,0,Business/Repair Svc,Sales,0,18.06763,2.894121939,30,10.58974,9.833333,10.58974,1,1
233,36,1,0,16,1,0,nonSMSA,0,Professional Services,Professional/technical,0,5.805152,1.758745799,40,13.92308,13.91667,13.92308,1,1
236,36,1,0,18,1,0,SMSA,1,Professional Services,Professional/technical,0,24.66183,3.205256704,20,9.480769,3.75,9.480769,1,1
237,36,0,1,17,1,0,SMSA,1,Professional Services,Sales,1,7.21417,1.976047147,40,12.09615,1.75,12.09615,1,0
242,39,1,0,12,0,0,SMSA,0,Professional Services,Operatives,1,4.694041,1.546293832,24,15.30128,8.75,0,1,0
243,35,1,0,18,1,0,SMSA,0,Public Administration,Managers/admin,1,12.69726,2.541386222,40,17.49359,8.583333,17.49359,1,0
244,36,0,1,13,0,1,nonSMSA,0,Finance/Ins/Real Estate,Professional/technical,0,9.565216,2.258133185,40,16.26923,11.25,0,1,1
245,36,1,0,15,0,0,SMSA,1,Professional Services,Professional/technical,0,6.191625,1.823197572,40,9.846154,1,0,1,1
250,44,1,0,18,1,1,SMSA,0,Professional Services,Other,0,7.681153,2.038769666,50,9.064103,3.916667,9.064103,1,1
254,39,0,0,12,0,1,SMSA,0,Professional Services,Professional/technical,0,9.806758,2.28307174,40,16.30769,9.75,0,1,1
255,45,1,0,14,0,0,SMSA,1,Transport/Comm/Utility,Sales,0,4.025765,1.392714955,40,24.75,24.75,0,0,1
257,38,1,0,16,1,1,SMSA,1,Professional Services,Professional/technical,1,11.6103,2.451892635,40,11.65385,2.75,11.65385,0,0
260,38,0,0,12,0,0,SMSA,0,Professional Services,Laborers,0,6.964568,1.940835581,40,10.8718,2.5,0,1,1
261,41,1,0,12,0,0,SMSA,0,Professional Services,Sales,1,4.259257,1.449094732,40,5.365384,2.833333,0,1,0
262,44,0,0,14,0,1,SMSA,0,Professional Services,Managers/admin,,4.508855,1.506043241,40,14.57692,1.25,0,1,
265,44,0,0,14,0,1,SMSA,1,Professional Services,Professional/technical,0,9.227052,2.222139604,40,11.01923,0.75,0,1,1
269,40,1,0,16,1,0,SMSA,0,Professional Services,Other,1,3.31723,1.199130097,14,7.653846,1.75,7.653846,1,0
270,38,1,0,16,1,0,SMSA,1,Professional Services,Laborers,1,8.05153,2.085862135,40,16.44872,10.66667,16.44872,1,0
271,36,0,1,11,0,0,SMSA,1,Wholesale/Retail Trade,Sales,0,5.11272,1.631731552,40,11.33333,11.33333,0,1,1
273,42,1,0,12,0,0,SMSA,0,Business/Repair Svc,Laborers,,3.553512,1.26793641,20,9.019231,0.3333333,0,1,
275,38,1,0,10,0,0,SMSA,1,Manufacturing,Operatives,,1.004952,0.004939779,16,7.480769,1,0,1,
276,35,1,0,12,0,0,SMSA,1,Wholesale/Retail Trade,Sales,0,7.318838,1.990451572,22,16.16667,16.16667,0,1,1
279,35,1,0,16,1,0,SMSA,0,Wholesale/Retail Trade,Other,,9.891299,2.291655482,55,15.55769,6.25,15.55769,1,
285,38,1,0,13,0,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,0,5.885666,1.772519903,50,10.10256,2.583333,0,1,1
287,41,1,0,12,0,0,SMSA,0,Professional Services,Laborers,1,4.863122,1.581680619,15,5.519231,0.75,0,1,0
289,44,1,0,12,0,0,nonSMSA,0,Construction,Sales,,2.801002,1.02997721,46,19.13461,0.75,0,1,
291,42,0,0,12,0,0,SMSA,1,Professional Services,Laborers,,3.051839,1.11574436,40,7.596154,4.583333,0,1,
294,34,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,0,5.636071,1.729187192,30,15.60897,1.75,0,1,1
296,44,1,0,12,0,0,SMSA,0,Professional Services,Laborers,0,8.80837,2.175702406,32,15.23077,11.41667,0,1,1
298,37,1,0,16,1,1,SMSA,1,Finance/Ins/Real Estate,Managers/admin,0,23.24476,3.14607973,40,12.07051,2.25,12.07051,1,1
299,41,0,0,16,1,0,SMSA,1,Finance/Ins/Real Estate,Professional/technical,0,12.22222,2.503255607,38,12.15385,6.75,12.15385,0,1
301,38,0,1,18,1,0,SMSA,0,Professional Services,Managers/admin,0,12.971,2.562716096,40,14.90385,6.5,14.90385,1,1
305,40,1,0,16,1,0,SMSA,0,Professional Services,Managers/admin,0,15.78904,2.759316028,40,15.80769,15.5,15.80769,1,1
306,37,1,0,14,0,0,SMSA,0,Professional Services,Sales,0,6.964568,1.940835581,40,16.83333,13.41667,0,1,1
307,35,0,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,,4.388621,1.479015055,22,13.83333,2.333333,0,1,
308,37,1,0,18,1,0,SMSA,0,Professional Services,Professional/technical,,11.14827,2.411284329,50,14.17308,0.75,14.17308,1,
312,36,1,0,15,1,0,SMSA,0,Professional Services,Professional/technical,0,9.661837,2.268183796,16,9.653846,0.6666667,9.653846,1,1
